virus,season,model,beta,alpha,lower.ci,upper.ci,spark,lower.ci,upper.ci,ll,aic
covid,pd1,1,0,0.000165,0.000152,0.000179,0.000052,0.00000807,0.000335,-2457.88,4919.753
covid,pd1,1,0.5,0.005038,0.004633,0.005477,0.0000417,0.00000606,0.000287,-2455.44,4914.871
covid,pd1,1,1,0.128255,0.117958,0.139451,0.0000426,0.00000614,0.000295,-2465.79,4935.58
covid,pd1,1,1.5,2.504982,2.302528,2.725237,0.0000659,0.0000103,0.000419,-2503.69,5011.385
covid,pd1,2,0,0.0000321,0.0000295,0.0000349,0.0000563,0.00000897,0.000354,-2460.92,4925.836
covid,pd1,2,0.5,0.000979,0.000901,0.001065,0.0000442,0.00000647,0.000303,-2458.72,4921.431
covid,pd1,2,1,0.024906,0.022905,0.027082,0.0000453,0.0000066,0.000311,-2469.56,4943.129
covid,pd1,2,1.5,0.485121,0.445814,0.527895,0.0000739,0.0000121,0.000453,-2508.56,5021.112
covid,pd2,1,0,0.000181,0.000164,0.0002,0.000572,0.000197,0.001656,-2064.45,4132.901
covid,pd2,1,0.5,0.005479,0.004968,0.006042,0.000462,0.000144,0.001482,-2045.2,4094.408
covid,pd2,1,1,0.137608,0.124783,0.151751,0.000494,0.000167,0.001457,-2037.34,4078.69
covid,pd2,1,1.5,2.548757,2.301095,2.823074,0.000892,0.000415,0.001917,-2063.35,4130.696
covid,pd2,2,0,0.000034,0.0000307,0.0000376,0.000707,0.000278,0.001795,-2073.27,4150.548
covid,pd2,2,0.5,0.001032,0.000935,0.00114,0.000564,0.000201,0.001586,-2052.62,4109.243
covid,pd2,2,1,0.026054,0.023603,0.028759,0.000579,0.000216,0.00155,-2043.11,4090.217
covid,pd2,2,1.5,0.481538,0.434291,0.533925,0.000996,0.000487,0.002036,-2068.94,4141.886
covid,pd3,1,0,0.000136,0.000125,0.000147,0.0000789,0.000014,0.000445,-2727.89,5459.773
covid,pd3,1,0.5,0.004237,0.003905,0.004596,0.0000922,0.0000172,0.000493,-2729.82,5463.637
covid,pd3,1,1,0.110505,0.101756,0.120007,0.00014,0.0000343,0.00057,-2734.23,5472.459
covid,pd3,1,1.5,2.119851,1.947406,2.307565,0.000319,0.000137,0.000745,-2775.88,5555.758
covid,pd3,2,0,0.0000271,0.000025,0.0000294,0.0000794,0.0000146,0.000433,-2717.03,5438.069
covid,pd3,2,0.5,0.000848,0.000782,0.00092,0.0000908,0.0000174,0.000475,-2718.52,5441.045
covid,pd3,2,1,0.022106,0.020359,0.024003,0.000135,0.0000332,0.000549,-2723.56,5451.114
covid,pd3,2,1.5,0.417513,0.383589,0.454438,0.000318,0.000137,0.000738,-2774.32,5552.644
covid,pd4,1,0,0.000106,0.0000959,0.000118,0.001146,0.000616,0.002131,-2553.18,5110.357
covid,pd4,1,0.5,0.003239,0.002935,0.003574,0.000797,0.000357,0.001779,-2539.21,5082.416
covid,pd4,1,1,0.082246,0.074662,0.090601,0.000669,0.000273,0.001639,-2530.28,5064.566
covid,pd4,1,1.5,1.570219,1.417919,1.738878,0.001034,0.000518,0.002063,-2542.32,5088.631
covid,pd4,2,0,0.0000209,0.0000189,0.0000231,0.001098,0.000579,0.00208,-2551.65,5107.307
covid,pd4,2,0.5,0.000638,0.000578,0.000703,0.000762,0.000335,0.001731,-2536.79,5077.573
covid,pd4,2,1,0.016197,0.014711,0.017834,0.000652,0.000265,0.001603,-2526.99,5057.971
covid,pd4,2,1.5,0.308712,0.278883,0.341731,0.001024,0.000515,0.002039,-2539.39,5082.777
covid,pd5,1,0,0.000173,0.000159,0.000189,0.0000664,0.0000106,0.000415,-2225.63,4455.263
covid,pd5,1,0.5,0.005366,0.004908,0.005867,0.0000772,0.0000134,0.000447,-2215.01,4434.012
covid,pd5,1,1,0.138299,0.126444,0.151264,0.000102,0.0000216,0.00048,-2207.95,4419.894
covid,pd5,1,1.5,2.750801,2.512544,3.011651,0.000172,0.000054,0.000549,-2216.76,4437.516
covid,pd5,2,0,0.0000331,0.0000303,0.0000362,0.0000778,0.0000133,0.000455,-2230.97,4465.946
covid,pd5,2,0.5,0.001028,0.00094,0.001124,0.0000921,0.0000175,0.000484,-2219.47,4442.934
covid,pd5,2,1,0.026515,0.024234,0.029011,0.000122,0.0000291,0.000508,-2211.58,4427.15
covid,pd5,2,1.5,0.527421,0.481567,0.577642,0.000199,0.0000685,0.000579,-2219.69,4443.386
covid,pd6,1,0,0.000163,0.000148,0.00018,0.000407,0.000129,0.001288,-2147.61,4299.221
covid,pd6,1,0.5,0.004842,0.0044,0.00533,0.000336,0.000098,0.001154,-2128.83,4261.658
covid,pd6,1,1,0.12029,0.109285,0.132404,0.000363,0.000115,0.001145,-2121.28,4246.562
covid,pd6,1,1.5,2.188822,1.979218,2.420624,0.000692,0.000306,0.001563,-2154.81,4313.612
covid,pd6,2,0,0.0000322,0.0000292,0.0000355,0.000418,0.000138,0.001266,-2145.85,4295.695
covid,pd6,2,0.5,0.000954,0.000867,0.00105,0.000351,0.000108,0.001139,-2128.08,4260.154
covid,pd6,2,1,0.023625,0.021463,0.026005,0.00038,0.000127,0.001141,-2121.89,4247.784
covid,pd6,2,1.5,0.424571,0.3838,0.469673,0.000727,0.000332,0.001594,-2160.12,4324.242
