hsa_nci_id,breakpoint,early.ci,late.ci,time.to.outcome,early.tto,late.tto,outcome
1,12/6/2023,12/5/2023,12/8/2023,158,157,160,1
10,11/5/2023,10/22/2023,11/19/2023,127,113,141,1
101,11/30/2023,11/27/2023,12/3/2023,152,149,155,1
102,1/6/2024,1/4/2024,1/8/2024,189,187,191,1
103,10/25/2023,9/21/2023,11/27/2023,116,82,149,1
104,10/12/2023,7/31/2023,12/23/2023,103,30,175,1
105,12/6/2023,11/29/2023,12/13/2023,158,151,165,1
106,11/24/2023,11/15/2023,12/2/2023,146,137,154,1
107,12/12/2023,12/10/2023,12/13/2023,164,162,165,1
108,12/4/2023,12/2/2023,12/7/2023,156,154,159,1
109,11/27/2023,11/24/2023,11/30/2023,149,146,152,1
11,12/8/2023,11/26/2023,12/20/2023,160,148,172,1
112,12/12/2023,11/28/2023,12/25/2023,164,150,177,1
114,11/26/2023,11/18/2023,12/4/2023,148,140,156,1
115,11/21/2023,11/18/2023,11/24/2023,143,140,146,1
116,12/12/2023,12/10/2023,12/14/2023,164,162,166,1
119,11/24/2023,11/15/2023,12/2/2023,146,137,154,1
12,1/27/2024,1/22/2024,2/1/2024,210,205,215,1
121,11/29/2023,11/27/2023,12/1/2023,151,149,153,1
122,11/15/2023,10/31/2023,11/29/2023,137,122,151,1
123,11/1/2023,10/30/2023,11/3/2023,123,121,125,1
124,12/2/2023,12/1/2023,12/3/2023,154,153,155,1
126,12/7/2023,12/6/2023,12/9/2023,159,158,161,1
127,12/6/2023,12/3/2023,12/9/2023,158,155,161,1
13,12/8/2023,12/7/2023,12/9/2023,160,159,161,1
131,12/19/2023,12/17/2023,12/21/2023,171,169,173,1
135,11/30/2023,11/28/2023,12/3/2023,152,150,155,1
136,10/10/2023,8/30/2023,11/20/2023,101,60,142,1
14,12/5/2023,12/2/2023,12/7/2023,157,154,159,1
141,12/8/2023,12/6/2023,12/10/2023,160,158,162,1
145,12/16/2023,12/11/2023,12/21/2023,168,163,173,1
