"hsa_nci_id","breakpoint","early.ci","late.ci","time.to.outcome","early.tto","late.tto","outcome"
256,"04/02/2023","3/25/2023","4/10/2023",162,154,170,1
55,"04/06/2023","3/30/2023","4/14/2023",166,159,174,1
890,"04/19/2023","4/6/2023","5/2/2023",179,166,192,1
102,"04/25/2023","4/13/2023","5/7/2023",185,173,197,1
914,"04/25/2023","4/18/2023","5/1/2023",185,178,191,1
915,"05/02/2023","4/22/2023","5/12/2023",192,182,202,1
823,"05/03/2023","4/28/2023","5/8/2023",193,188,198,1
854,"05/07/2023","4/30/2023","5/15/2023",197,190,205,1
323,"05/10/2023","4/30/2023","5/19/2023",200,190,209,1
46,"05/10/2023","5/3/2023","5/16/2023",200,193,206,1
73,"05/17/2023","5/5/2023","5/28/2023",207,195,218,1
223,"05/19/2023","5/7/2023","6/1/2023",209,197,222,1
103,"05/24/2023","5/12/2023","6/5/2023",214,202,226,1
170,"05/24/2023","5/13/2023","6/3/2023",214,203,224,1
936,"05/25/2023","5/12/2023","6/7/2023",215,202,228,1
443,"05/29/2023","5/24/2023","6/2/2023",219,214,223,1
475,"05/29/2023","5/21/2023","6/6/2023",219,211,227,1
730,"05/30/2023","5/25/2023","6/4/2023",220,215,225,1
190,"05/31/2023","5/20/2023","6/10/2023",221,210,231,1
269,"05/31/2023","5/18/2023","6/14/2023",221,208,235,1
454,"05/31/2023","5/25/2023","6/7/2023",221,215,228,1
501,"05/31/2023","5/22/2023","6/8/2023",221,212,229,1
877,"05/31/2023","5/23/2023","6/7/2023",221,213,228,1
164,"06/01/2023","5/23/2023","6/10/2023",222,213,231,1
419,"06/01/2023","5/23/2023","6/11/2023",222,213,232,1
822,"06/01/2023","5/28/2023","6/4/2023",222,218,225,1
808,"06/02/2023","5/22/2023","6/12/2023",223,212,233,1
383,"06/05/2023","5/29/2023","6/12/2023",226,219,233,1
618,"06/05/2023","5/24/2023","6/17/2023",226,214,238,1
717,"06/05/2023","5/30/2023","6/12/2023",226,220,233,1
145,"06/06/2023","5/28/2023","6/15/2023",227,218,236,1
217,"06/06/2023","5/27/2023","6/16/2023",227,217,237,1
263,"06/06/2023","6/1/2023","6/10/2023",227,222,231,1
