"hsa_nci_id","breakpoint","early.ci","late.ci","time.to.outcome","early.tto","late.tto","outcome"
593,"03/19/2024","3/14/2024","3/25/2024",514,509,520,1
631,"03/25/2024","3/19/2024","4/1/2024",520,514,527,1
823,"04/02/2024","3/27/2024","4/8/2024",528,522,534,1
635,"04/09/2024","4/3/2024","4/16/2024",535,529,542,1
822,"04/10/2024","4/5/2024","4/15/2024",536,531,541,1
555,"04/11/2024","4/3/2024","4/19/2024",537,529,545,1
235,"04/13/2024","4/11/2024","4/14/2024",539,537,540,1
17,"04/16/2024","4/9/2024","4/23/2024",542,535,549,1
531,"04/16/2024","4/7/2024","4/25/2024",542,533,551,1
107,"04/17/2024","4/10/2024","4/24/2024",543,536,550,1
559,"04/17/2024","4/12/2024","4/21/2024",543,538,547,1
775,"04/17/2024","4/6/2024","4/27/2024",543,532,553,1
852,"04/17/2024","4/8/2024","4/26/2024",543,534,552,1
689,"04/23/2024","4/17/2024","4/28/2024",549,543,554,1
721,"04/24/2024","4/19/2024","4/30/2024",550,545,556,1
975,"04/24/2024","4/18/2024","5/1/2024",550,544,557,1
727,"04/25/2024","4/21/2024","4/30/2024",551,547,556,1
728,"04/28/2024","4/23/2024","5/4/2024",554,549,560,1
754,"04/28/2024","4/22/2024","5/4/2024",554,548,560,1
105,"04/29/2024","4/20/2024","5/9/2024",555,546,565,1
720,"04/29/2024","4/24/2024","5/4/2024",555,550,560,1
734,"04/29/2024","4/24/2024","5/4/2024",555,550,560,1
821,"04/29/2024","4/25/2024","5/4/2024",555,551,560,1
962,"04/29/2024","4/24/2024","5/4/2024",555,550,560,1
488,"04/30/2024","4/21/2024","5/9/2024",556,547,565,1
705,"04/30/2024","4/27/2024","5/3/2024",556,553,559,1
73,"04/30/2024","4/21/2024","5/9/2024",556,547,565,1
795,"04/30/2024","4/24/2024","5/5/2024",556,550,561,1
895,"04/30/2024","4/23/2024","5/7/2024",556,549,563,1
109,"05/01/2024","4/24/2024","5/8/2024",557,550,564,1
420,"05/01/2024","4/25/2024","5/6/2024",557,551,562,1
688,"05/01/2024","4/26/2024","5/5/2024",557,552,561,1
955,"05/01/2024","4/19/2024","5/12/2024",557,545,568,1
12,"05/02/2024","4/26/2024","5/8/2024",558,552,564,1
910,"05/02/2024","4/21/2024","5/13/2024",558,547,569,1
693,"05/06/2024","4/21/2024","5/22/2024",562,547,578,1
742,"05/06/2024","4/29/2024","5/14/2024",562,555,570,1
532,"05/07/2024","4/29/2024","5/15/2024",563,555,571,1
58,"05/07/2024","4/25/2024","5/19/2024",563,551,575,1
61,"05/07/2024","5/1/2024","5/14/2024",563,557,570,1
715,"05/07/2024","4/30/2024","5/13/2024",563,556,569,1
755,"05/07/2024","4/30/2024","5/14/2024",563,556,570,1
208,"05/08/2024","4/30/2024","5/16/2024",564,556,572,1
220,"05/08/2024","4/30/2024","5/17/2024",564,556,573,1
