season,hsa_nci_id,hsa,hsa_counties,geography,peak_date,peak_size
2023-2024,717,"Umatilla, OR - Morrow, OR","Morrow, Umatilla",Oregon,2/24/2024,7.16
2023-2024,719,"Deschutes, OR - Crook, OR","Crook, Deschutes, Harney, Jefferson, Wheeler",Oregon,3/16/2024,2.44
2023-2024,72,"Washington (Hagerstown), MD",Washington,Maryland,12/30/2023,5.42
2023-2024,720,"Elko, NV - Lander, NV","Elko, Eureka, Lander",Nevada,12/30/2023,8.08
2023-2024,721,"Lewis and Clark, MT - Jefferson, MT","Broadwater, Jefferson, Lewis and Clark",Montana,1/6/2024,7.97
2023-2024,722,"Bonneville, ID - Madison, ID","Bonneville, Butte, Clark, Custer, Fremont, Jefferson, Madison, Teton",Idaho,12/30/2023,5.23
2023-2024,724,"Santa Fe (Santa Fe), NM - Rio Arriba, NM","Los Alamos, Rio Arriba, Santa Fe, Taos",New Mexico,12/23/2023,6.81
2023-2024,725,"Curry, NM - Roosevelt, NM","Curry, De Baca, Quay, Roosevelt",New Mexico,2/3/2024,13.93
2023-2024,726,"Natrona (Casper), WY - Converse, WY","Converse, Natrona",Wyoming,2/10/2024,0.89
2023-2024,727,"Linn, OR - Benton, OR","Benton, Linn",Oregon,12/30/2023,1.63
2023-2024,728,"Flathead, MT - Lincoln, MT","Flathead, Lincoln",Montana,1/6/2024,9.42
2023-2024,729,"Payette, ID - Washington, ID","Adams, Payette, Washington",Idaho,2/17/2024,3.3
2023-2024,73,"Alleghany, NC",Alleghany,North Carolina,12/30/2023,10.26
2023-2024,730,"Cassia, ID - Minidoka, ID","Cassia, Minidoka",Idaho,12/30/2023,5.03
2023-2024,732,"Dona Ana (Las Cruces), NM - Luna, NM","Dona Ana, Luna, Sierra",New Mexico,12/30/2023,10.13
2023-2024,734,"Kootenai, ID - Bonner, ID","Benewah, Bonner, Boundary, Kootenai, Shoshone",Idaho,12/30/2023,4.47
2023-2024,74,"Essex (Lynn), MA",Essex,Massachusetts,12/30/2023,5.43
2023-2024,741,"Cheyenne, NE - Kimball, NE","Cheyenne, Deuel, Kimball",Nebraska,2/3/2024,8.24
2023-2024,742,"Silver Bow, MT - Deer Lodge, MT","Beaverhead, Deer Lodge, Silver Bow",Montana,1/6/2024,9.96
2023-2024,743,"Klamath, OR - Lake, OR","Klamath, Lake",Oregon,12/23/2023,5.57
2023-2024,744,"Davis, UT - Weber (Ogden), UT","Box Elder, Davis, Morgan, Rich, Weber",Utah,12/30/2023,7.29
2023-2024,748,"Wasco, OR - Hood River, OR","Gilliam, Hood River, Sherman, Wasco",Oregon,3/2/2024,1.59
2023-2024,749,"Park, WY - Big Horn, WY","Big Horn, Park",Wyoming,12/30/2023,11.36
2023-2024,75,"New Castle (Wilmington), DE",New Castle,Delaware,3/2/2024,5.45
2023-2024,754,"El Paso (Colorado Springs), CO - Teller, CO","Cheyenne, El Paso, Kit Carson, Lincoln, Teller",Colorado,12/30/2023,4.94
2023-2024,755,"Iron, UT - Beaver, UT","Beaver, Iron",Utah,12/30/2023,12.82
2023-2024,756,"Park, MT - Sweet Grass, MT","Park, Sweet Grass",Montana,3/16/2024,5.76
2023-2024,759,"Union, OR - Baker, OR","Baker, Union, Wallowa",Oregon,3/9/2024,2.8
2023-2024,76,"Fulton, NY - Montgomery (Amsterdam), NY","Fulton, Montgomery",New York,12/30/2023,3.49
2023-2024,760,"Weld, CO - Morgan, CO","Morgan, Washington, Weld, Yuma",Colorado,12/23/2023,7.3
2023-2024,767,"Richland, MT - Dawson, MT","Dawson, McCone, Richland, Wibaux",Montana,2/3/2024,5.29
2023-2024,769,"Otero, NM - Lincoln, NM","Lincoln, Otero",New Mexico,1/6/2024,8.24
2023-2024,77,"Petersburg City, VA - Prince George, VA","Dinwiddie, Hopewell City, Petersburg City, Prince George, Surry, Sussex",Virginia,12/30/2023,8.36
2023-2024,770,"Sheridan, WY - Johnson, WY","Johnson, Sheridan",Wyoming,1/6/2024,5.08
2023-2024,772,"Chaves, NM - Eddy, NM","Chaves, Eddy",New Mexico,2/3/2024,10.04
2023-2024,773,"Gallatin and Yellowstone National Park, MT - Madison, MT","Gallatin and Yellowstone National Park, Madison",Montana,12/30/2023,10.77
2023-2024,775,"Teton, WY - Lincoln, WY","Lincoln, Sublette, Teton",Wyoming,1/6/2024,5.39
2023-2024,777,"Fremont, WY - Washakie, WY","Fremont, Hot Springs, Washakie",Wyoming,2/3/2024,9.44
2023-2024,779,"Roosevelt, MT - Valley, MT","Roosevelt, Valley",Montana,1/6/2024,6.22
2023-2024,782,"Lane (Eugene), OR - Douglas, OR","Douglas, Lane",Oregon,12/30/2023,2.25
2023-2024,783,"Lincoln, OR - Tillamook, OR","Lincoln, Tillamook",Oregon,12/23/2023,2.57
2023-2024,784,"Latah, ID",Latah,Idaho,1/6/2024,1.96
2023-2024,792,"Uinta, WY",Uinta,Wyoming,12/30/2023,8.66
2023-2024,793,"Grant, NM - Hidalgo, NM","Catron, Grant, Hidalgo",New Mexico,12/23/2023,13.24
2023-2024,795,"Boulder, CO - Broomfield, CO","Boulder, Broomfield",Colorado,12/30/2023,5.2
2023-2024,796,"Larimer, CO",Larimer,Colorado,12/23/2023,4.85
2023-2024,80,"St. Lawrence, NY - Jefferson, NY","Jefferson, Lewis, St. Lawrence",New York,12/30/2023,4.8
2023-2024,801,"San Miguel, NM - Mora, NM","Guadalupe, Harding, Mora, San Miguel",New Mexico,12/30/2023,7.83
2023-2024,805,"White Pine, NV",White Pine,Nevada,2/24/2024,17.05
2023-2024,808,"Blaine, ID - Camas, ID","Blaine, Camas",Idaho,12/9/2023,2.22
2023-2024,809,"Carbon, UT - Emery, UT","Carbon, Emery",Utah,1/13/2024,5.51
2023-2024,81,"Clinton, NY - Franklin, NY","Clinton, Essex, Franklin",New York,2/24/2024,3.32
2023-2024,82,"Taylor, KY - Adair, KY","Adair, Green, Russell, Taylor",Kentucky,2/17/2024,7.89
2023-2024,821,"Honolulu (Honolulu), HI - Maui, HI","Honolulu, Kalawao, Maui",Hawaii,12/23/2023,3.78
2023-2024,822,"Kauai, HI",Kauai,Hawaii,12/23/2023,10.46
2023-2024,823,"Hawaii, HI",Hawaii,Hawaii,12/23/2023,4.93
2023-2024,825,"Henry, GA - Forsyth, GA","Fayette, Forsyth, Henry, Rockdale, Walton",Georgia,12/30/2023,8.55
2023-2024,826,"Cherokee, GA - Douglas, GA","Cherokee, Douglas, Paulding, Pickens",Georgia,12/30/2023,12.15
2023-2024,827,"Newton (Covington), GA",Newton,Georgia,12/23/2023,12.53
2023-2024,828,"Baldwin, GA",Baldwin,Georgia,12/30/2023,18.82
2023-2024,829,"Clarke (Athens), GA - Barrow, GA","Barrow, Clarke, Jackson, Madison, Oconee, Oglethorpe",Georgia,12/30/2023,12.28
2023-2024,83,"Suffolk, NY - Nassau, NY","Nassau, Suffolk",New York,12/30/2023,5.38
2023-2024,830,"Richmond (South Augusta), GA - Columbia, GA","Burke, Columbia, Jenkins, Lincoln, McDuffie, Richmond",Georgia,12/30/2023,3.96
2023-2024,831,"Washtenaw, MI - Livingston, MI","Livingston, Washtenaw",Michigan,3/2/2024,4.25
2023-2024,85,"New Haven (New Haven), CT - Litchfield, CT","Litchfield, Middlesex, New Haven",Connecticut,12/30/2023,3.43
2023-2024,851,"Mineral, WV - Hardy, WV","Grant, Hardy, Mineral",West Virginia,12/30/2023,13.53
2023-2024,852,"Wicomico, MD - Worcester, MD","Somerset, Wicomico, Worcester",Maryland,12/30/2023,10.42
2023-2024,853,"Virginia Beach City, VA - Norfolk City, VA","Chesapeake City, Franklin City, Isle of Wight, Norfolk City, Portsmouth City, Southampton, Suffolk City, Virginia Beach City",Virginia,12/30/2023,5.23
2023-2024,854,"Bennington, VT",Bennington,Vermont,1/13/2024,2.68
2023-2024,855,"McCracken, KY - Graves, KY","Ballard, Carlisle, Crittenden, Graves, Hickman, Livingston, Lyon, Marshall, McCracken",Kentucky,2/10/2024,9.07
2023-2024,856,"Logan, WV - Mingo, WV","Logan, Mingo",West Virginia,2/24/2024,5.9
2023-2024,857,"Washington, VT - Windsor, VT","Orange, Washington, Windsor",Vermont,1/13/2024,3.07
2023-2024,86,"Orange (Newburgh), NY - Sullivan, NY","Orange, Sullivan",New York,12/30/2023,6.62
2023-2024,860,"Ohio (Wheeling), WV - Marshall, WV","Marshall, Ohio, Tyler, Wetzel",West Virginia,2/24/2024,9.09
2023-2024,861,"Berkeley, WV - Jefferson, WV","Berkeley, Hampshire, Jefferson, Morgan",West Virginia,12/30/2023,9.37
2023-2024,862,"Greenbrier, WV - Monroe, WV","Greenbrier, Monroe",West Virginia,3/2/2024,4.68
2023-2024,863,"Wood (Parkersburg), WV - Jackson, WV","Calhoun, Jackson, Pleasants, Ritchie, Roane, Wirt, Wood",West Virginia,2/24/2024,6.42
2023-2024,865,"Rockland, NY",Rockland,New York,2/3/2024,4.45
2023-2024,866,"Mercer, WV - McDowell, WV","McDowell, Mercer",West Virginia,1/13/2024,7.5
2023-2024,867,"Cabell (Huntington), WV - Wayne, WV","Cabell, Lincoln, Wayne",West Virginia,2/17/2024,5.88
2023-2024,869,"Montgomery, MD - Prince Georges, MD","Charles, Montgomery, Prince Georges, St. Marys",Maryland,12/30/2023,5.88
2023-2024,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ","Morris, Sussex",New Jersey,12/30/2023,5.68
2023-2024,875,"Harford, MD - Cecil, MD","Cecil, Harford",Maryland,12/30/2023,5.08
2023-2024,877,"Windham, VT",Windham,Vermont,1/13/2024,3.89
2023-2024,878,"Claiborne, TN",Claiborne,Tennessee,12/23/2023,8.08
2023-2024,88,"Saratoga, NY - Schenectady (Schenectady), NY","Hamilton, Saratoga, Schenectady, Warren, Washington",New York,2/24/2024,3.83
2023-2024,881,"Columbia, NY - Greene, NY","Columbia, Greene",New York,2/3/2024,5.37
2023-2024,882,"Henry, TN - Carroll, TN","Benton, Carroll, Henry",Tennessee,12/23/2023,7.21
2023-2024,883,"Pittsylvania (Danville), VA - Danville City, VA","Danville City, Pittsylvania",Virginia,12/23/2023,11.71
2023-2024,885,"Hamilton (Chattanooga), TN - Marion, TN","Hamilton, Marion, Sequatchie",Tennessee,12/30/2023,11.57
2023-2024,886,"Beaufort, SC - Jasper, SC","Beaufort, Jasper",South Carolina,12/30/2023,8.57
2023-2024,887,"Shelby (Memphis), TN - Tipton, TN","Fayette, Shelby, Tipton",Tennessee,12/30/2023,15.15
2023-2024,888,"Washington, VA - Smyth, VA","Bristol City, Russell, Scott, Smyth, Washington",Virginia,1/6/2024,5.71
2023-2024,889,"Aiken, SC - Edgefield, SC","Aiken, Barnwell, Edgefield",South Carolina,12/23/2023,11.68
2023-2024,89,"Hardin, KY - Meade, KY","Breckinridge, Grayson, Hardin, Larue, Meade",Kentucky,2/3/2024,8.92
2023-2024,890,"Glynn, GA - Camden, GA","Brantley, Camden, Charlton, Glynn, McIntosh",Georgia,12/30/2023,4.45
2023-2024,893,"Muscogee (Columbus), GA - Harris, GA","Chattahoochee, Harris, Marion, Muscogee, Schley, Stewart, Talbot, Webster",Georgia,12/30/2023,5.29
2023-2024,894,"Coweta, GA - Troup (La Grange), GA","Coweta, Heard, Meriwether, Troup",Georgia,12/30/2023,9.37
2023-2024,895,"Bradley, TN - Polk, TN","Bradley, Polk",Tennessee,12/30/2023,7
2023-2024,896,"Carroll, GA - Haralson, GA","Carroll, Haralson",Georgia,12/30/2023,12.43
2023-2024,897,"Weakley, TN - Obion, TN","Obion, Weakley",Tennessee,12/30/2023,9.49
2023-2024,899,"Johnson, TN",Johnson,Tennessee,1/6/2024,10.58
2023-2024,9,"Cumberland (Portland), ME - Knox, ME","Cumberland, Knox, Lincoln, Sagadahoc",Maine,2/17/2024,2.35
2023-2024,900,"Lincoln, TN",Lincoln,Tennessee,12/30/2023,13.55
2023-2024,902,"Vanderburgh (Evansville), IN - Warrick, IN","Gibson, Posey, Spencer, Vanderburgh, Warrick",Indiana,2/17/2024,5.03
2023-2024,904,"Mason, WV",Mason,West Virginia,2/24/2024,4.62
2023-2024,905,"Oneida, WI - Vilas, WI","Forest, Iron, Oneida, Vilas",Wisconsin,1/20/2024,6.75
2023-2024,906,"Polk, WI",Polk,Wisconsin,12/30/2023,6.45
2023-2024,907,"Douglas, WI",Douglas,Wisconsin,3/2/2024,3.79
2023-2024,908,"La Crosse (La Crosse), WI - Monroe, WI","La Crosse, Monroe, Trempealeau, Vernon",Wisconsin,2/24/2024,4.96
2023-2024,909,"Dubuque (Dubuque), IA - Jackson, IA","Dubuque, Jackson",Iowa,2/3/2024,9.09
2023-2024,910,"Knox, IN - Daviess, IN","Daviess, Knox, Martin, Pike",Indiana,2/10/2024,4.88
2023-2024,911,"Vigo (Terre Haute), IN - Clay, IN","Clay, Parke, Sullivan, Vermillion, Vigo",Indiana,12/30/2023,6.03
2023-2024,912,"Marinette, WI - Florence, WI","Florence, Marinette",Wisconsin,3/16/2024,5.88
2023-2024,913,"Daviess (Owensboro), KY - Ohio, KY","Daviess, Hancock, McLean, Ohio",Kentucky,12/30/2023,2
2023-2024,914,"Carroll, KY - Trimble, KY","Carroll, Trimble",Kentucky,3/2/2024,10.9
2023-2024,915,"Fountain, IN - Warren, IN","Fountain, Warren",Indiana,1/27/2024,5.8
2023-2024,917,"Des Moines, IA - Henry, IA","Des Moines, Henry",Iowa,2/24/2024,6.57
2023-2024,919,"Crawford, WI",Crawford,Wisconsin,2/24/2024,16.35
2023-2024,92,"Harrison, WV - Upshur, WV","Braxton, Doddridge, Gilmer, Harrison, Lewis, Upshur",West Virginia,3/2/2024,9.96
2023-2024,921,"Clinton, IA",Clinton,Iowa,3/2/2024,5.74
2023-2024,923,"St. Croix, WI - Pierce, WI","Pierce, St. Croix",Wisconsin,12/30/2023,5.88
2023-2024,924,"Hancock (Weirton), WV - Brooke, WV","Brooke, Hancock",West Virginia,3/9/2024,0
2023-2024,925,"Bowie (Texarkana), TX",Bowie,Texas,12/30/2023,12.39
2023-2024,926,"Lauderdale, MS - Neshoba, MS","Clarke, Kemper, Lauderdale, Neshoba, Newton",Mississippi,12/30/2023,9.26
2023-2024,928,"Warren, MS - Claiborne, MS","Claiborne, Warren",Mississippi,12/30/2023,14.77
2023-2024,929,"Adams, MS - Jefferson, MS","Adams, Franklin, Jefferson",Mississippi,12/30/2023,8.06
2023-2024,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ","Hunterdon, Warren",New Jersey,12/30/2023,5.79
2023-2024,930,"Grayson (Sherman), TX - Fannin, TX","Fannin, Grayson",Texas,2/3/2024,15.35
2023-2024,931,"Lamar, TX - Red River, TX","Delta, Lamar, Red River",Texas,1/20/2024,7.82
2023-2024,932,"Delaware, OK",Delaware,Oklahoma,2/10/2024,2.45
2023-2024,934,"Lowndes, MS - Clay, MS","Clay, Lowndes, Noxubee",Mississippi,12/30/2023,12.13
2023-2024,936,"Pearl River, MS",Pearl River,Mississippi,12/23/2023,13.06
2023-2024,937,"Gaines, TX - Andrews, TX","Andrews, Gaines",Texas,12/30/2023,16.63
2023-2024,941,"Olmsted (Rochester), MN - Winona, MN","Dodge, Fillmore, Mower, Olmsted, Steele, Wabasha, Winona",Minnesota,2/10/2024,3.12
2023-2024,943,"Grant, KS - Stanton, KS","Grant, Stanton",Kansas,1/20/2024,2.33
2023-2024,95,"Androscoggin (Lewiston), ME - Oxford, ME","Androscoggin, Franklin, Oxford",Maine,12/30/2023,4.53
2023-2024,958,"Martin, MN",Martin,Minnesota,12/30/2023,9.06
2023-2024,96,"Harlan, KY - Bell, KY","Bell, Harlan",Kentucky,12/30/2023,6.45
2023-2024,962,"Washoe (Reno), NV - Carson City, NV","Carson City, Churchill, Douglas, Humboldt, Lyon, Mineral, Pershing, Storey, Washoe",Nevada,12/30/2023,6.25
2023-2024,964,"Washington, UT - Kane, UT","Garfield, Kane, Piute, Washington",Utah,12/30/2023,6.33
2023-2024,966,"Cache, UT",Cache,Utah,12/30/2023,5.18
2023-2024,968,"Malheur, OR",Malheur,Oregon,2/24/2024,5.31
2023-2024,969,"Coos, OR - Curry, OR","Coos, Curry",Oregon,12/30/2023,3.25
2023-2024,97,"Augusta, VA - Staunton City, VA","Augusta, Buena Vista City, Highland, Lexington City, Rockbridge, Staunton City, Waynesboro City",Virginia,12/30/2023,8.83
2023-2024,970,"San Juan, UT",San Juan,Utah,12/30/2023,15.69
2023-2024,971,"Laramie (Cheyenne), WY",Laramie,Wyoming,2/10/2024,6.93
2023-2024,973,"Jackson (Medford), OR - Josephine, OR","Jackson, Josephine",Oregon,12/30/2023,3.89
2023-2024,975,"Albany, WY - Carbon, WY","Albany, Carbon",Wyoming,12/23/2023,8.41
2023-2024,98,"York, ME",York,Maine,2/10/2024,2.76
2023-2024,985,"La Plata, CO - Montezuma, CO","Archuleta, Dolores, La Plata, Montezuma, San Juan",Colorado,2/17/2024,2.71
2023-2024,986,"San Juan, NM",San Juan,New Mexico,12/30/2023,6.8
2023-2024,99,"Albemarle, VA - Charlottesville City, VA","Albemarle, Buckingham, Charlottesville City, Culpeper, Fluvanna, Greene, Louisa, Madison, Nelson, Orange, Rappahannock",Virginia,12/30/2023,5.74
2023-2024,All,All,All,Alabama,12/30/2023,10.57
2023-2024,All,All,All,Alaska,11/11/2023,5.93
2023-2024,All,All,All,Arizona,1/6/2024,4.84
2023-2024,All,All,All,Arkansas,2/10/2024,7.12
2023-2024,All,All,All,California,1/6/2024,2.86
2023-2024,All,All,All,Colorado,1/6/2024,4.2
2023-2024,All,All,All,Connecticut,1/6/2024,2.45
2023-2024,All,All,All,Delaware,3/9/2024,4.57
2023-2024,All,All,All,District of Columbia,1/6/2024,3.43
2023-2024,All,All,All,Florida,12/30/2023,5.83
2023-2024,All,All,All,Georgia,12/30/2023,7.67
2023-2024,All,All,All,Hawaii,1/6/2024,4.2
2023-2024,All,All,All,Idaho,1/6/2024,3.46
2023-2024,All,All,All,Illinois,1/6/2024,3.53
2023-2024,All,All,All,Indiana,2/24/2024,4.81
2023-2024,All,All,All,Iowa,3/2/2024,5.14
2023-2024,All,All,All,Kansas,3/9/2024,4.11
2023-2024,All,All,All,Kentucky,2/24/2024,5.15
2023-2024,All,All,All,Louisiana,12/30/2023,9.55
2023-2024,All,All,All,Maine,2/24/2024,3.21
2023-2024,All,All,All,Maryland,1/6/2024,3.8
2023-2024,All,All,All,Massachusetts,1/6/2024,3.35
2023-2024,All,All,All,Michigan,3/9/2024,4.71
2023-2024,All,All,All,Minnesota,3/9/2024,4.6
2023-2024,All,All,All,Mississippi,1/6/2024,7.23
2023-2024,All,All,All,Montana,1/13/2024,7.06
2023-2024,All,All,All,Nebraska,3/9/2024,3.78
2023-2024,All,All,All,Nevada,12/30/2023,4.32
2023-2024,All,All,All,New Hampshire,1/6/2024,2.4
2023-2024,All,All,All,New Jersey,1/6/2024,4.06
2023-2024,All,All,All,New Mexico,1/6/2024,6.47
2023-2024,All,All,All,New York,1/6/2024,3.19
2023-2024,All,All,All,North Carolina,12/30/2023,14.02
2023-2024,All,All,All,North Dakota,1/6/2024,3.16
2023-2024,All,All,All,Ohio,3/2/2024,6
2023-2024,All,All,All,Oklahoma,2/10/2024,5.07
2023-2024,All,All,All,Oregon,1/6/2024,2.04
2023-2024,All,All,All,Pennsylvania,1/6/2024,3.48
2023-2024,All,All,All,Rhode Island,1/6/2024,2.92
2023-2024,All,All,All,South Carolina,12/30/2023,11.52
2023-2024,All,All,All,South Dakota,3/9/2024,5.04
2023-2024,All,All,All,Tennessee,1/6/2024,6.61
2023-2024,All,All,All,Texas,2/3/2024,6.69
2023-2024,All,All,All,United States,1/6/2024,4.27
2023-2024,All,All,All,Utah,1/6/2024,6.01
2023-2024,All,All,All,Vermont,3/2/2024,3.99
2023-2024,All,All,All,Virginia,1/6/2024,4.67
2023-2024,All,All,All,Washington,1/6/2024,2.52
2023-2024,All,All,All,West Virginia,3/2/2024,5.89
2023-2024,All,All,All,Wisconsin,3/2/2024,3.69
2023-2024,All,All,All,Wyoming,2/17/2024,5.57
2024-2025,1,"Allegany (Cumberland), MD - Garrett, MD","Allegany, Garrett",Maryland,2/22/2025,8.51
2024-2025,10,"Albany (Albany), NY - Rensselaer, NY","Albany, Rensselaer",New York,2/8/2025,5.67
2024-2025,101,"Worcester (Worcester), MA - Franklin, MA","Franklin, Worcester",Massachusetts,2/8/2025,9.91
2024-2025,102,"Bourbon (Paris), KY - Nicholas, KY","Bourbon, Nicholas",Kentucky,2/22/2025,11.76
2024-2025,103,"Caledonia, VT - Orleans, VT","Caledonia, Lamoille, Orleans",Vermont,2/15/2025,13.95
2024-2025,104,"Clinton, KY - Cumberland, KY","Clinton, Cumberland",Kentucky,12/14/2024,21.33
2024-2025,105,"Tompkins, NY - Cortland, NY","Cortland, Tompkins",New York,2/15/2025,8.53
2024-2025,106,"Chautauqua, NY",Chautauqua,New York,2/15/2025,9.58
2024-2025,107,"Queen Annes, MD - Talbot, MD","Caroline, Dorchester, Queen Annes, Talbot",Maryland,2/15/2025,14.99
2024-2025,108,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean",New Jersey,2/1/2025,8.83
2024-2025,109,"Prince William (Dale City), VA - Fauquier, VA","Fauquier, Manassas City, Manassas Park City, Prince William",Virginia,2/8/2025,12.59
2024-2025,11,"Floyd, KY - Johnson, KY","Floyd, Johnson, Magoffin",Kentucky,2/15/2025,9.74
2024-2025,112,"Berkshire (Pittsfield), MA",Berkshire,Massachusetts,2/8/2025,14.53
2024-2025,114,"Franklin, KY - Anderson, KY","Anderson, Franklin, Owen",Kentucky,2/8/2025,9.05
2024-2025,115,"Calloway, KY",Calloway,Kentucky,2/1/2025,9.16
2024-2025,116,"Mason, KY - Fleming, KY","Bracken, Fleming, Mason",Kentucky,2/15/2025,10.4
2024-2025,119,"Harrison, KY - Robertson, KY","Harrison, Robertson",Kentucky,2/8/2025,18.61
2024-2025,12,"Massac, IL - Johnson, IL","Johnson, Massac",Illinois,2/8/2025,25.52
2024-2025,121,"Fairfield, CT",Fairfield,Connecticut,2/1/2025,9.42
2024-2025,122,"Rutland, VT",Rutland,Vermont,2/8/2025,9.05
2024-2025,123,"Letcher, KY",Letcher,Kentucky,3/8/2025,9.09
2024-2025,124,"Kent, MD",Kent,Maryland,2/8/2025,20.33
2024-2025,126,"Mercer, NJ",Mercer,New Jersey,1/25/2025,12.99
2024-2025,127,"Cumberland, NJ",Cumberland,New Jersey,2/8/2025,11.53
2024-2025,13,"Pike, KY",Pike,Kentucky,2/22/2025,18.08
2024-2025,131,"Montgomery, KY - Bath, KY","Bath, Montgomery",Kentucky,12/28/2024,8.06
2024-2025,135,"Stafford, VA - Spotsylvania, VA","Caroline, Fredericksburg City, King George, Spotsylvania, Stafford",Virginia,2/8/2025,11.89
2024-2025,136,"Aroostook, ME",Aroostook,Maine,3/1/2025,8.22
2024-2025,14,"Roanoke City, VA - Roanoke, VA","Amherst, Appomattox, Bedford, Bedford City, Botetourt, Campbell, Craig, Floyd, Franklin, Lynchburg City, Roanoke, Roanoke City, Salem City",Virginia,2/8/2025,13.24
2024-2025,141,"Walker, GA - Catoosa, GA","Catoosa, Dade, Walker",Georgia,2/1/2025,5.24
2024-2025,143,"Chatham (Savannah), GA - Liberty, GA","Bryan, Chatham, Effingham, Evans, Liberty, Long, Tattnall",Georgia,2/1/2025,3.79
2024-2025,144,"Dougherty (Albany), GA - Lee, GA","Baker, Calhoun, Clay, Dougherty, Early, Lee, Randolph, Terrell, Worth",Georgia,3/1/2025,1.54
2024-2025,145,"Whitfield, GA - Murray, GA","Murray, Whitfield",Georgia,1/4/2025,8.32
2024-2025,146,"DeSoto, MS - Marshall, MS","Benton, DeSoto, Marshall, Panola, Tate, Tunica",Mississippi,2/1/2025,7.47
2024-2025,147,"Knox (Knoxville), TN - Blount, TN","Blount, Knox, Loudon, McMinn, Meigs, Monroe, Sevier, Union",Tennessee,2/1/2025,5.79
2024-2025,148,"Davidson (Nashville-Davidson), TN - Williamson, TN","Cheatham, Davidson, Dickson, Hickman, Humphreys, Robertson, Williamson",Tennessee,2/1/2025,7
2024-2025,149,"Forsyth (Winston-Salem), NC - Surry, NC","Davie, Forsyth, Stokes, Surry, Yadkin",North Carolina,2/8/2025,13.41
2024-2025,151,"Sullivan (Kingsport), TN - Hawkins, TN","Hawkins, Sullivan",Tennessee,12/28/2024,9.09
2024-2025,153,"Fulton (Atlanta), GA - DeKalb, GA","Clayton, DeKalb, Fulton, Gwinnett",Georgia,2/1/2025,5
2024-2025,154,"Floyd, GA - Bartow, GA","Bartow, Chattooga, Floyd, Gordon, Polk",Georgia,2/1/2025,10.51
2024-2025,157,"Hall, GA - Habersham, GA","Banks, Dawson, Habersham, Hall, Lumpkin, Towns, Union, White",Georgia,2/1/2025,7.38
2024-2025,16,"Baltimore, MD - Baltimore City, MD","Anne Arundel, Baltimore, Baltimore City, Calvert, Carroll, Howard",Maryland,2/8/2025,11.1
2024-2025,160,"Richland (Columbia), SC - Lexington, SC","Fairfield, Lexington, Newberry, Richland",South Carolina,2/1/2025,15.65
2024-2025,164,"Morgan, GA - Greene, GA","Greene, Morgan",Georgia,2/1/2025,13.67
2024-2025,167,"Mecklenburg (Charlotte), NC - Union, NC","Anson, Mecklenburg, Union",North Carolina,2/1/2025,19.12
2024-2025,168,"New Hanover (Wilmington), NC - Brunswick, NC","Brunswick, New Hanover, Pender",North Carolina,2/1/2025,9.49
2024-2025,169,"Washington (Johnson City), TN - Carter, TN","Carter, Unicoi, Washington",Tennessee,2/1/2025,9.8
2024-2025,17,"Penobscot (Bangor), ME - Hancock, ME","Hancock, Penobscot, Piscataquis, Washington",Maine,2/22/2025,11.38
2024-2025,170,"Durham (Durham), NC - Granville, NC","Durham, Granville, Person, Vance, Warren",North Carolina,2/1/2025,6.44
2024-2025,178,"Thomas, GA - Mitchell, GA","Grady, Mitchell, Thomas",Georgia,8/3/2024,0
2024-2025,18,"Fayette (Lexington-Fayette), KY - Jessamine, KY","Breathitt, Clark, Fayette, Jessamine, Knott, Lee, Leslie, Owsley, Perry, Powell, Scott, Wolfe, Woodford",Kentucky,2/8/2025,14.1
2024-2025,180,"Lowndes, GA - Brooks, GA","Berrien, Brooks, Cook, Echols, Lanier, Lowndes",Georgia,2/1/2025,8.84
2024-2025,182,"Greenville (Greenville), SC - Anderson, SC","Anderson, Greenville, Oconee, Pickens",South Carolina,2/1/2025,14.3
2024-2025,184,"Florence (Florence), SC - Darlington, SC","Chesterfield, Darlington, Florence, Marlboro, Williamsburg",South Carolina,2/1/2025,13.98
2024-2025,186,"Guilford (Greensboro), NC - Davidson, NC","Davidson, Guilford, Randolph, Rockingham",North Carolina,2/8/2025,17.45
2024-2025,187,"Laurens, SC - Greenwood, SC","Abbeville, Greenwood, Laurens, McCormick, Saluda",South Carolina,2/1/2025,18.77
2024-2025,188,"Madison (Jackson), TN - Gibson, TN","Chester, Crockett, Decatur, Gibson, Hardeman, Haywood, Henderson, Madison",Tennessee,2/1/2025,13.96
2024-2025,189,"Tift, GA - Ben Hill, GA","Ben Hill, Irwin, Tift, Turner",Georgia,2/1/2025,5.61
2024-2025,19,"Broome (Binghamton), NY - Tioga, NY","Broome, Tioga",New York,12/28/2024,6.28
2024-2025,190,"Cobb (Marietta), GA",Cobb,Georgia,2/1/2025,7.99
2024-2025,191,"Polk, NC",Polk,North Carolina,2/8/2025,9.47
2024-2025,192,"Iredell (Statesville), NC - Alexander, NC","Alexander, Iredell",North Carolina,2/8/2025,14.89
2024-2025,193,"Bibb (Macon), GA - Houston, GA","Bibb, Bleckley, Crawford, Houston, Jones, Monroe, Peach, Pulaski, Taylor, Twiggs, Wilkinson",Georgia,3/8/2025,4.28
