season,hsa_nci_id,hsa,hsa_counties,geography,peak_date,peak_size
2023-2024,182,"Greenville (Greenville), SC - Anderson, SC","Anderson, Greenville, Oconee, Pickens",South Carolina,12/23/2023,15.85
2023-2024,184,"Florence (Florence), SC - Darlington, SC","Chesterfield, Darlington, Florence, Marlboro, Williamsburg",South Carolina,12/23/2023,14.51
2023-2024,186,"Guilford (Greensboro), NC - Davidson, NC","Davidson, Guilford, Randolph, Rockingham",North Carolina,12/30/2023,14.96
2023-2024,187,"Laurens, SC - Greenwood, SC","Abbeville, Greenwood, Laurens, McCormick, Saluda",South Carolina,12/23/2023,16.69
2023-2024,188,"Madison (Jackson), TN - Gibson, TN","Chester, Crockett, Decatur, Gibson, Hardeman, Haywood, Henderson, Madison",Tennessee,12/23/2023,7.83
2023-2024,189,"Tift, GA - Ben Hill, GA","Ben Hill, Irwin, Tift, Turner",Georgia,12/30/2023,6.49
2023-2024,19,"Broome (Binghamton), NY - Tioga, NY","Broome, Tioga",New York,3/2/2024,4.04
2023-2024,190,"Cobb (Marietta), GA",Cobb,Georgia,12/30/2023,8.33
2023-2024,191,"Polk, NC",Polk,North Carolina,12/23/2023,15.44
2023-2024,192,"Iredell (Statesville), NC - Alexander, NC","Alexander, Iredell",North Carolina,12/30/2023,15.31
2023-2024,193,"Bibb (Macon), GA - Houston, GA","Bibb, Bleckley, Crawford, Houston, Jones, Monroe, Peach, Pulaski, Taylor, Twiggs, Wilkinson",Georgia,12/30/2023,5.11
2023-2024,194,"Watauga, NC - Ashe, NC","Ashe, Watauga",North Carolina,12/30/2023,11.98
2023-2024,195,"Pitt, NC - Beaufort, NC","Beaufort, Hyde, Martin, Pitt, Tyrrell, Washington",North Carolina,12/23/2023,18.02
2023-2024,196,"Sumter, SC - Clarendon, SC","Clarendon, Lee, Sumter",South Carolina,12/30/2023,11.1
2023-2024,198,"Wake (Raleigh), NC - Johnston, NC","Franklin, Johnston, Wake, Wilson",North Carolina,12/30/2023,11.43
2023-2024,199,"Marion, SC - Dillon, SC","Dillon, Marion",South Carolina,12/30/2023,20.7
2023-2024,2,"Kenton (Covington), KY - Campbell, KY","Boone, Campbell, Gallatin, Grant, Kenton, Pendleton",Kentucky,2/24/2024,8.08
2023-2024,20,"New London, CT",New London,Connecticut,2/24/2024,3.01
2023-2024,203,"Orange (Chapel Hill), NC - Harnett, NC","Chatham, Harnett, Lee, Orange",North Carolina,12/30/2023,9.84
2023-2024,204,"Spalding (Griffin), GA - Butts, GA","Butts, Spalding",Georgia,12/30/2023,11.28
2023-2024,205,"Moore, NC - Richmond, NC","Hoke, Montgomery, Moore, Richmond",North Carolina,12/23/2023,18.28
2023-2024,206,"Laurens, GA - Toombs, GA","Dodge, Johnson, Laurens, Montgomery, Telfair, Toombs, Treutlen, Wheeler",Georgia,12/30/2023,12.85
2023-2024,207,"Robeson, NC - Columbus, NC","Bladen, Columbus, Robeson, Scotland",North Carolina,12/30/2023,12.05
