season,hsa_nci_id,hsa,hsa_counties,geography,peak_date,peak_size
2023-2024,18,"Fayette (Lexington-Fayette), KY - Jessamine, KY","Breathitt, Clark, Fayette, Jessamine, Knott, Lee, Leslie, Owsley, Perry, Powell, Scott, Wolfe, Woodford",Kentucky,12/16/2023,2.28
2023-2024,180,"Lowndes, GA - Brooks, GA","Berrien, Brooks, Cook, Echols, Lanier, Lowndes",Georgia,11/11/2023,0.95
2023-2024,182,"Greenville (Greenville), SC - Anderson, SC","Anderson, Greenville, Oconee, Pickens",South Carolina,11/25/2023,1.26
2023-2024,184,"Florence (Florence), SC - Darlington, SC","Chesterfield, Darlington, Florence, Marlboro, Williamsburg",South Carolina,12/2/2023,1.51
2023-2024,186,"Guilford (Greensboro), NC - Davidson, NC","Davidson, Guilford, Randolph, Rockingham",North Carolina,12/16/2023,3.01
2023-2024,187,"Laurens, SC - Greenwood, SC","Abbeville, Greenwood, Laurens, McCormick, Saluda",South Carolina,11/25/2023,1.3
2023-2024,188,"Madison (Jackson), TN - Gibson, TN","Chester, Crockett, Decatur, Gibson, Hardeman, Haywood, Henderson, Madison",Tennessee,12/9/2023,2.42
2023-2024,189,"Tift, GA - Ben Hill, GA","Ben Hill, Irwin, Tift, Turner",Georgia,11/4/2023,1.81
2023-2024,19,"Broome (Binghamton), NY - Tioga, NY","Broome, Tioga",New York,12/30/2023,1.93
2023-2024,190,"Cobb (Marietta), GA",Cobb,Georgia,11/11/2023,0.71
2023-2024,191,"Polk, NC",Polk,North Carolina,12/9/2023,1.34
2023-2024,192,"Iredell (Statesville), NC - Alexander, NC","Alexander, Iredell",North Carolina,12/2/2023,2.59
2023-2024,193,"Bibb (Macon), GA - Houston, GA","Bibb, Bleckley, Crawford, Houston, Jones, Monroe, Peach, Pulaski, Taylor, Twiggs, Wilkinson",Georgia,10/21/2023,0.47
2023-2024,194,"Watauga, NC - Ashe, NC","Ashe, Watauga",North Carolina,12/30/2023,2.76
2023-2024,195,"Pitt, NC - Beaufort, NC","Beaufort, Hyde, Martin, Pitt, Tyrrell, Washington",North Carolina,11/18/2023,2.78
2023-2024,196,"Sumter, SC - Clarendon, SC","Clarendon, Lee, Sumter",South Carolina,11/18/2023,1.41
2023-2024,197,"Sumter, GA - Crisp, GA","Crisp, Dooly, Macon, Sumter, Wilcox",Georgia,8/5/2023,0
2023-2024,198,"Wake (Raleigh), NC - Johnston, NC","Franklin, Johnston, Wake, Wilson",North Carolina,11/25/2023,1.72
2023-2024,199,"Marion, SC - Dillon, SC","Dillon, Marion",South Carolina,11/18/2023,2.22
2023-2024,2,"Kenton (Covington), KY - Campbell, KY","Boone, Campbell, Gallatin, Grant, Kenton, Pendleton",Kentucky,12/16/2023,0.74
2023-2024,20,"New London, CT",New London,Connecticut,11/25/2023,0.98
2023-2024,203,"Orange (Chapel Hill), NC - Harnett, NC","Chatham, Harnett, Lee, Orange",North Carolina,12/2/2023,1.45
2023-2024,204,"Spalding (Griffin), GA - Butts, GA","Butts, Spalding",Georgia,10/21/2023,1.24
2023-2024,205,"Moore, NC - Richmond, NC","Hoke, Montgomery, Moore, Richmond",North Carolina,12/9/2023,1.49
2023-2024,206,"Laurens, GA - Toombs, GA","Dodge, Johnson, Laurens, Montgomery, Telfair, Toombs, Treutlen, Wheeler",Georgia,11/11/2023,0.92
2023-2024,207,"Robeson, NC - Columbus, NC","Bladen, Columbus, Robeson, Scotland",North Carolina,12/2/2023,1.33
2023-2024,208,"Maury, TN - Giles, TN","Giles, Lewis, Marshall, Maury",Tennessee,11/18/2023,2.73
2023-2024,209,"Jackson, NC - Macon, NC","Graham, Jackson, Macon, Swain",North Carolina,12/16/2023,4
2023-2024,21,"Ontario (Geneva), NY - Wayne, NY","Ontario, Seneca, Wayne, Yates",New York,12/23/2023,1.46
2023-2024,211,"Rutherford (Murfreesboro), TN - Warren, TN","Cannon, DeKalb, Rutherford, Van Buren, Warren",Tennessee,11/25/2023,0.7
2023-2024,212,"Charleston (Charleston), SC - Berkeley, SC","Berkeley, Charleston, Colleton, Dorchester, Hampton",South Carolina,11/25/2023,1.24
2023-2024,214,"Nash, NC - Halifax, NC","Edgecombe, Halifax, Nash, Northampton",North Carolina,11/25/2023,1.52
2023-2024,215,"Putnam, TN - White, TN","Clay, Jackson, Overton, Pickett, Putnam, White",Tennessee,11/25/2023,1.87
2023-2024,216,"Stephens, GA - Hart, GA","Franklin, Hart, Stephens",Georgia,10/21/2023,0.89
2023-2024,217,"Hamblen (Morristown), TN - Jefferson, TN","Grainger, Hamblen, Hancock, Jefferson",Tennessee,11/25/2023,1.54
2023-2024,218,"Gaston (Gastonia), NC - Cleveland, NC","Cleveland, Gaston, Lincoln, Rutherford",North Carolina,12/16/2023,0.95
2023-2024,22,"Middlesex, MA - Suffolk (Boston), MA","Barnstable, Dukes, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk",Massachusetts,11/25/2023,1.31
2023-2024,220,"Jasper, GA",Jasper,Georgia,10/21/2023,2.56
2023-2024,222,"Bulloch, GA - Emanuel, GA","Bulloch, Candler, Emanuel, Screven",Georgia,11/11/2023,0.7
2023-2024,223,"Cumberland, TN - Fentress, TN","Bledsoe, Cumberland, Fentress",Tennessee,12/2/2023,0.84
2023-2024,225,"Buncombe (Asheville), NC - Henderson, NC","Buncombe, Haywood, Henderson, Madison, Transylvania",North Carolina,12/23/2023,2.02
2023-2024,226,"Anderson (Oak Ridge), TN - Roane, TN","Anderson, Campbell, Morgan, Rhea, Roane",Tennessee,12/23/2023,0.62
2023-2024,228,"Decatur, GA - Seminole, GA","Decatur, Miller, Seminole",Georgia,12/2/2023,0.51
2023-2024,229,"Catawba (Hickory), NC - Burke, NC","Burke, Caldwell, Catawba",North Carolina,12/23/2023,1.54
2023-2024,23,"Camden (Camden), NJ - Burlington, NJ","Burlington, Camden, Gloucester, Salem",New Jersey,11/25/2023,0.83
2023-2024,230,"Wayne, GA - Appling, GA","Appling, Wayne",Georgia,10/21/2023,0.16
2023-2024,231,"Sumner (Hendersonville), TN - Wilson, TN","Macon, Smith, Sumner, Trousdale, Wilson",Tennessee,11/25/2023,1.4
2023-2024,232,"Lawrence, TN - Wayne, TN","Lawrence, Perry, Wayne",Tennessee,11/25/2023,3.55
2023-2024,234,"Montgomery (Clarksville), TN - Stewart, TN","Houston, Montgomery, Stewart",Tennessee,11/18/2023,1.83
2023-2024,235,"Cabarrus (Concord), NC - Rowan, NC","Cabarrus, Rowan, Stanly",North Carolina,12/9/2023,1.32
2023-2024,236,"Coffee, GA - Jeff Davis, GA","Atkinson, Coffee, Jeff Davis",Georgia,4/27/2024,0.71
2023-2024,238,"Wayne, NC - Lenoir, NC","Duplin, Greene, Lenoir, Wayne",North Carolina,11/18/2023,1.61
2023-2024,239,"Coffee, TN - Franklin, TN","Coffee, Franklin, Grundy, Moore",Tennessee,12/30/2023,1.9
2023-2024,240,"Yancey, NC - Avery, NC","Avery, Mitchell, Yancey",North Carolina,12/30/2023,2.09
2023-2024,242,"Onslow, NC - Craven, NC","Carteret, Craven, Jones, Onslow, Pamlico",North Carolina,11/25/2023,3.04
2023-2024,243,"Hertford, NC - Bertie, NC","Bertie, Chowan, Gates, Hertford",North Carolina,12/9/2023,1.17
2023-2024,244,"York (Rock Hill), SC - Chester, SC","Chester, York",South Carolina,11/25/2023,1.71
2023-2024,245,"Hardin, TN - McNairy, TN","Hardin, McNairy",Tennessee,11/18/2023,1.3
2023-2024,246,"Horry, SC - Georgetown, SC","Georgetown, Horry",South Carolina,11/25/2023,1.21
2023-2024,248,"Dyer, TN - Lauderdale, TN","Dyer, Lake, Lauderdale",Tennessee,12/2/2023,1.93
2023-2024,249,"Lancaster, SC - Kershaw, SC","Kershaw, Lancaster",South Carolina,11/25/2023,1.33
2023-2024,25,"Frederick, VA - Shenandoah, VA","Clarke, Frederick, Shenandoah, Warren, Winchester City",Virginia,12/9/2023,3.31
2023-2024,250,"Washington, GA - Jefferson, GA","Jefferson, Washington",Georgia,4/27/2024,0.76
2023-2024,252,"Greene, TN - Cocke, TN","Cocke, Greene",Tennessee,12/2/2023,1.86
2023-2024,253,"Elbert, GA - Wilkes, GA","Elbert, Wilkes",Georgia,12/2/2023,1.36
2023-2024,256,"Wilkes, NC",Wilkes,North Carolina,1/20/2024,1.64
2023-2024,258,"Cherokee, NC - Clay, NC","Cherokee, Clay",North Carolina,11/4/2023,0.98
2023-2024,260,"Bedford, TN",Bedford,Tennessee,11/25/2023,1.86
2023-2024,261,"McDowell, NC",McDowell,North Carolina,12/30/2023,1.15
2023-2024,262,"Cumberland (Fayetteville), NC - Sampson, NC","Cumberland, Sampson",North Carolina,11/25/2023,2.22
2023-2024,263,"Scott, TN",Scott,Tennessee,4/6/2024,1.24
2023-2024,264,"Pasquotank, NC - Dare, NC","Camden, Dare, Pasquotank, Perquimans",North Carolina,11/11/2023,1.46
2023-2024,267,"Alamance, NC",Alamance,North Carolina,12/30/2023,3.57
2023-2024,269,"Upson, GA - Lamar, GA","Lamar, Pike, Upson",Georgia,11/25/2023,1.53
2023-2024,27,"Boyle, KY - Lincoln, KY","Boyle, Casey, Garrard, Lincoln, Mercer",Kentucky,11/25/2023,6.58
2023-2024,271,"Grand Traverse, MI - Manistee, MI","Antrim, Benzie, Grand Traverse, Kalkaska, Leelanau, Manistee",Michigan,12/30/2023,1.72
2023-2024,272,"Jefferson (Louisville), KY - Bullitt, KY","Bullitt, Henry, Jefferson, Marion, Nelson, Oldham, Shelby, Spencer, Washington",Kentucky,12/16/2023,3.23
2023-2024,273,"Wabash, IL",Wabash,Illinois,11/18/2023,4.07
2023-2024,274,"Wayne (Detroit), MI - Oakland, MI","Macomb, Oakland, Wayne",Michigan,12/30/2023,1.49
2023-2024,275,"Marion (Indianapolis), IN - Johnson, IN","Hendricks, Johnson, Marion, Morgan, Putnam, Rush, Shelby",Indiana,12/9/2023,0.69
2023-2024,277,"Peoria (Peoria), IL - Tazewell, IL","Fulton, Marshall, Mason, Peoria, Tazewell",Illinois,12/23/2023,1.93
2023-2024,278,"Brown (Green Bay), WI - Oconto, WI","Brown, Door, Kewaunee, Oconto",Wisconsin,1/6/2024,2.41
2023-2024,279,"Champaign (Champaign), IL - Coles, IL","Champaign, Coles, Cumberland, Douglas, Ford",Illinois,12/16/2023,1.78
2023-2024,280,"Milwaukee (Milwaukee), WI - Waukesha, WI","Milwaukee, Ozaukee, Washington, Waukesha",Wisconsin,12/16/2023,0.74
2023-2024,282,"Marathon (Wausau), WI - Wood, WI","Clark, Lincoln, Marathon, Taylor, Wood",Wisconsin,1/6/2024,1.94
2023-2024,284,"Gogebic, MI - Ontonagon, MI","Gogebic, Ontonagon",Michigan,1/13/2024,4.27
2023-2024,285,"Ingham (Lansing), MI - Eaton, MI","Clinton, Eaton, Ingham, Shiawassee",Michigan,12/23/2023,1.22
2023-2024,286,"Ramsey (St. Paul), MN - Dakota, MN","Chisago, Dakota, Ramsey, Washington",Minnesota,12/16/2023,1.85
2023-2024,287,"Cook (Chicago), IL - DuPage, IL","Cook, DuPage, Lake, McHenry",Illinois,11/25/2023,1.43
2023-2024,289,"St. Louis (Duluth), MN - Itasca, MN","Carlton, Cook, Itasca, Koochiching, Lake, Pine, St. Louis",Minnesota,2/10/2024,2.45
2023-2024,29,"Warren, KY - Logan, KY","Allen, Butler, Edmonson, Logan, Simpson, Warren",Kentucky,12/2/2023,4.74
2023-2024,290,"Allamakee, IA",Allamakee,Iowa,2/10/2024,8.14
2023-2024,291,"Winnebago (Rockford), IL - Ogle, IL","Boone, Lee, Ogle, Winnebago",Illinois,11/25/2023,1.66
2023-2024,293,"Marquette, MI - Delta, MI","Alger, Delta, Luce, Marquette, Schoolcraft",Michigan,12/23/2023,1.9
2023-2024,294,"Chippewa, MI - Emmet, MI","Charlevoix, Cheboygan, Chippewa, Emmet, Mackinac",Michigan,12/30/2023,2.23
2023-2024,296,"Muskegon (Muskegon), MI - Newaygo, MI","Mason, Muskegon, Newaygo, Oceana",Michigan,12/23/2023,1.36
2023-2024,297,"St. Clair (Port Huron), MI - Sanilac, MI","Sanilac, St. Clair",Michigan,1/6/2024,2.37
2023-2024,298,"Eau Claire (Eau Claire), WI - Chippewa, WI","Buffalo, Chippewa, Dunn, Eau Claire, Pepin",Wisconsin,1/13/2024,1.95
2023-2024,299,"Madison (Alton), IL - Jersey, IL","Bond, Calhoun, Jersey, Madison",Illinois,1/6/2024,2.03
2023-2024,3,"Sussex, DE - Kent, DE","Kent, Sussex",Delaware,11/18/2023,2.07
2023-2024,30,"Alleghany Cnty & Clifton Forge Cty, VA - Covington City, VA","Alleghany Cnty and Clifton Forge Cty, Bath, Covington City",Virginia,12/9/2023,2.35
2023-2024,300,"Tippecanoe (Lafayette), IN - Clinton, IN","Benton, Carroll, Clinton, Tippecanoe, White",Indiana,12/2/2023,1.9
2023-2024,301,"Dane (Madison), WI - Sauk, WI","Columbia, Dane, Grant, Iowa, Marquette, Richland, Sauk",Wisconsin,1/6/2024,1.79
2023-2024,302,"Stephenson, IL - Jo Daviess, IL","Jo Daviess, Stephenson",Illinois,11/25/2023,3.45
2023-2024,303,"Will (Joliet), IL - Grundy, IL","Grundy, Will",Illinois,12/30/2023,1.79
2023-2024,304,"Allen (Fort Wayne), IN - Noble, IN","Allen, De Kalb, LaGrange, Noble, Steuben, Whitley",Indiana,12/30/2023,1.45
2023-2024,305,"Macon (Decatur), IL - Shelby, IL","Macon, Moultrie, Piatt, Shelby",Illinois,12/2/2023,1.71
2023-2024,306,"Winnebago (Oshkosh), WI - Fond du Lac, WI","Dodge, Fond du Lac, Green Lake, Waushara, Winnebago",Wisconsin,1/6/2024,3
2023-2024,307,"Rock Island (Moline), IL - Henry, IL","Henry, Mercer, Rock Island, Stark",Illinois,1/6/2024,2.02
2023-2024,308,"Lake (Gary), IN - Porter, IN","Jasper, Lake, Newton, Porter",Indiana,11/25/2023,1.46
2023-2024,309,"Kent (Grand Rapids), MI - Ionia, MI","Gratiot, Ionia, Kent, Mecosta, Montcalm",Michigan,12/30/2023,1.34
2023-2024,31,"Monongalia, WV - Marion, WV","Marion, Monongalia, Preston, Taylor",West Virginia,12/23/2023,4.56
2023-2024,310,"Crawford, IL - Lawrence, IL","Crawford, Lawrence",Illinois,1/6/2024,4.17
2023-2024,312,"St. Joseph (South Bend), IN - Marshall, IN","Fulton, Marshall, Pulaski, St. Joseph",Indiana,12/30/2023,1.57
2023-2024,313,"Bartholomew, IN - Jackson, IN","Bartholomew, Decatur, Jackson, Jennings",Indiana,12/9/2023,2.23
2023-2024,314,"Washburn, WI - Burnett, WI","Burnett, Washburn",Wisconsin,1/27/2024,2.29
2023-2024,315,"Dickinson, MI - Menominee, MI","Dickinson, Iron, Menominee",Michigan,12/9/2023,3.07
2023-2024,316,"Perry, IN",Perry,Indiana,1/6/2024,2.13
2023-2024,317,"Wexford, MI - Osceola, MI","Lake, Missaukee, Osceola, Wexford",Michigan,2/17/2024,1.85
2023-2024,318,"Sangamon (Springfield), IL - Christian, IL","Brown, Cass, Christian, Logan, McDonough, Menard, Sangamon, Schuyler",Illinois,12/30/2023,2.22
2023-2024,319,"Morgan, IL - Greene, IL","Greene, Morgan, Scott",Illinois,1/20/2024,2.42
2023-2024,32,"Hampden (Springfield), MA - Hampshire, MA","Hampden, Hampshire",Massachusetts,12/9/2023,2.59
2023-2024,320,"Ottawa (Holland), MI - Allegan, MI","Allegan, Ottawa",Michigan,12/23/2023,1.42
2023-2024,321,"Dearborn, IN - Jefferson (Madison), IN","Dearborn, Jefferson, Ohio, Ripley, Switzerland",Indiana,12/23/2023,3.49
2023-2024,322,"Saginaw (Saginaw), MI - Tuscola, MI","Huron, Saginaw, Tuscola",Michigan,1/6/2024,2.03
2023-2024,323,"Delaware (Muncie), IN - Randolph, IN","Blackford, Delaware, Randolph",Indiana,12/30/2023,3.78
2023-2024,324,"Knox, IL - Warren, IL","Knox, Warren",Illinois,12/30/2023,3.45
