season,hsa_nci_id,hsa,hsa_counties,geography,peak_date,peak_size
2023-2024,650,"Geary, KS - Dickinson, KS","Dickinson, Geary, Morris",Kansas,12/9/2023,1.43
2023-2024,651,"Platte, NE - Boone, NE","Boone, Nance, Platte",Nebraska,3/9/2024,1.98
2023-2024,652,"OBrien, IA - Osceola, IA","OBrien, Osceola",Iowa,1/13/2024,5.56
2023-2024,654,"Chase, NE - Dundy, NE","Chase, Dundy, Hayes",Nebraska,2/24/2024,7.41
2023-2024,659,"Thomas, KS - Sherman, KS","Sherman, Thomas, Wallace",Kansas,3/30/2024,2.56
2023-2024,66,"Essex (Newark), NJ - Middlesex, NJ","Essex, Middlesex, Somerset, Union",New Jersey,11/11/2023,0.94
2023-2024,660,"Otoe, NE - Johnson, NE","Johnson, Otoe",Nebraska,1/6/2024,5.32
2023-2024,661,"Kingman, KS - Harper, KS","Harper, Kingman",Kansas,1/13/2024,3.41
2023-2024,662,"Clay, KS",Clay,Kansas,1/6/2024,1.22
2023-2024,664,"Stevens, KS",Stevens,Kansas,3/2/2024,6.45
2023-2024,665,"Mitchell, IA",Mitchell,Iowa,1/27/2024,5.36
2023-2024,667,"Russell, KS",Russell,Kansas,8/5/2023,0
2023-2024,669,"Barber, KS",Barber,Kansas,1/13/2024,3.23
2023-2024,67,"Rowan, KY - Morgan, KY","Elliott, Menifee, Morgan, Rowan",Kentucky,12/2/2023,3.25
2023-2024,671,"Atchison, KS",Atchison,Kansas,12/30/2023,2.75
2023-2024,672,"Sioux, IA",Sioux,Iowa,12/9/2023,4.31
2023-2024,674,"McPherson, KS",McPherson,Kansas,12/30/2023,3.23
2023-2024,675,"Wilson, KS",Wilson,Kansas,1/13/2024,5.56
2023-2024,679,"Marshall, IA - Tama, IA","Marshall, Tama",Iowa,11/25/2023,2.6
2023-2024,68,"Bristol (New Bedford), MA",Bristol,Massachusetts,11/25/2023,0.88
2023-2024,681,"Crawford, IA",Crawford,Iowa,1/27/2024,9.76
2023-2024,682,"Ness, KS",Ness,Kansas,8/5/2023,0
2023-2024,686,"Poweshiek, IA",Poweshiek,Iowa,2/17/2024,1.95
2023-2024,687,"Nemaha, NE",Nemaha,Nebraska,1/27/2024,4.76
2023-2024,688,"Denver (Denver), CO - Jefferson, CO","Adams, Arapahoe, Clear Creek, Denver, Douglas, Elbert, Gilpin, Grand, Jefferson, Park, Summit",Colorado,12/30/2023,1.14
2023-2024,689,"Multnomah (Portland), OR - Washington, OR","Clackamas, Clatsop, Columbia, Multnomah, Washington",Oregon,12/23/2023,1.14
2023-2024,69,"Fairfax, VA - Arlington, VA","Alexandria City, Arlington, Fairfax, Fairfax City, Falls Church City, Loudoun",Virginia,11/18/2023,1.15
2023-2024,691,"Yellowstone (Billings), MT - Big Horn, MT","Big Horn, Carbon, Golden Valley, Musselshell, Rosebud, Stillwater, Treasure, Yellowstone",Montana,3/16/2024,0.99
2023-2024,692,"Cascade (Great Falls), MT - Glacier, MT","Cascade, Chouteau, Glacier, Judith Basin, Pondera, Teton, Toole",Montana,12/30/2023,3.4
2023-2024,693,"Bernalillo (Albuquerque), NM - Sandoval, NM","Bernalillo, Cibola, Sandoval, Socorro, Torrance, Valencia",New Mexico,12/30/2023,3.11
2023-2024,694,"Nez Perce, ID - Idaho, ID","Clearwater, Idaho, Lewis, Nez Perce",Idaho,2/17/2024,1.29
2023-2024,695,"Twin Falls, ID - Jerome, ID","Gooding, Jerome, Lincoln, Twin Falls",Idaho,1/6/2024,2.27
2023-2024,696,"Bannock, ID - Bingham, ID","Bannock, Bingham, Caribou, Oneida, Power",Idaho,1/27/2024,0.99
2023-2024,7,"Kanawha (Charleston), WV - Putnam, WV","Boone, Clay, Kanawha, Nicholas, Putnam, Webster",West Virginia,1/6/2024,1.91
2023-2024,70,"Montgomery, VA - Pulaski, VA","Giles, Montgomery, Pulaski, Radford City, Wythe",Virginia,1/6/2024,2.25
2023-2024,703,"Utah (Provo), UT - Sanpete, UT","Juab, Millard, Sanpete, Sevier, Utah, Wayne",Utah,1/6/2024,2.3
2023-2024,704,"Pueblo (Pueblo), CO - Las Animas, CO","Huerfano, Las Animas, Pueblo",Colorado,1/6/2024,1.8
2023-2024,705,"Marion (Salem), OR - Yamhill, OR","Marion, Polk, Yamhill",Oregon,1/6/2024,1.91
2023-2024,707,"Clark (Las Vegas), NV - Nye, NV","Clark, Esmeralda, Lincoln, Nye",Nevada,12/30/2023,1
2023-2024,708,"Salt Lake (Salt Lake City), UT - Tooele, UT","Duchesne, Salt Lake, Summit, Tooele, Uintah, Wasatch",Utah,1/6/2024,1.6
2023-2024,71,"Halifax with South Boston City, VA - Mecklenburg, VA","Halifax with South Boston City, Lunenburg, Mecklenburg",Virginia,11/11/2023,1.8
2023-2024,711,"Mesa, CO - Garfield, CO","Eagle, Garfield, Mesa, Pitkin, Rio Blanco",Colorado,2/3/2024,2.04
2023-2024,712,"Hill, MT - Blaine, MT","Blaine, Hill, Liberty, Phillips",Montana,3/2/2024,3.05
2023-2024,713,"Missoula, MT - Ravalli, MT","Granite, Lake, Mineral, Missoula, Ravalli, Sanders",Montana,2/10/2024,1.44
2023-2024,714,"Custer, MT - Fallon, MT","Carter, Custer, Fallon, Garfield, Powder River, Prairie",Montana,4/6/2024,1.56
2023-2024,715,"Franklin, ID - Bear Lake, ID","Bear Lake, Franklin",Idaho,3/23/2024,1.89
2023-2024,716,"Ada (Boise City), ID - Canyon, ID","Ada, Boise, Canyon, Elmore, Gem, Owyhee, Valley",Idaho,1/6/2024,1.57
2023-2024,717,"Umatilla, OR - Morrow, OR","Morrow, Umatilla",Oregon,2/3/2024,1.68
2023-2024,719,"Deschutes, OR - Crook, OR","Crook, Deschutes, Harney, Jefferson, Wheeler",Oregon,12/30/2023,2.1
2023-2024,72,"Washington (Hagerstown), MD",Washington,Maryland,12/23/2023,1.34
2023-2024,720,"Elko, NV - Lander, NV","Elko, Eureka, Lander",Nevada,2/24/2024,3.81
2023-2024,721,"Lewis and Clark, MT - Jefferson, MT","Broadwater, Jefferson, Lewis and Clark",Montana,2/17/2024,0.64
2023-2024,722,"Bonneville, ID - Madison, ID","Bonneville, Butte, Clark, Custer, Fremont, Jefferson, Madison, Teton",Idaho,12/30/2023,1.88
2023-2024,724,"Santa Fe (Santa Fe), NM - Rio Arriba, NM","Los Alamos, Rio Arriba, Santa Fe, Taos",New Mexico,1/6/2024,2.6
2023-2024,725,"Curry, NM - Roosevelt, NM","Curry, De Baca, Quay, Roosevelt",New Mexico,12/16/2023,3.33
2023-2024,726,"Natrona (Casper), WY - Converse, WY","Converse, Natrona",Wyoming,2/17/2024,2.04
2023-2024,727,"Linn, OR - Benton, OR","Benton, Linn",Oregon,12/16/2023,0.84
2023-2024,728,"Flathead, MT - Lincoln, MT","Flathead, Lincoln",Montana,2/24/2024,1.86
2023-2024,729,"Payette, ID - Washington, ID","Adams, Payette, Washington",Idaho,1/27/2024,1.94
2023-2024,73,"Alleghany, NC",Alleghany,North Carolina,1/13/2024,6.72
2023-2024,730,"Cassia, ID - Minidoka, ID","Cassia, Minidoka",Idaho,1/6/2024,1.59
2023-2024,732,"Dona Ana (Las Cruces), NM - Luna, NM","Dona Ana, Luna, Sierra",New Mexico,12/30/2023,2.43
2023-2024,733,"Sheridan, MT - Daniels, MT","Daniels, Sheridan",Montana,3/30/2024,14.29
2023-2024,734,"Kootenai, ID - Bonner, ID","Benewah, Bonner, Boundary, Kootenai, Shoshone",Idaho,2/10/2024,2.08
2023-2024,74,"Essex (Lynn), MA",Essex,Massachusetts,12/9/2023,1.29
2023-2024,741,"Cheyenne, NE - Kimball, NE","Cheyenne, Deuel, Kimball",Nebraska,2/17/2024,2.13
2023-2024,742,"Silver Bow, MT - Deer Lodge, MT","Beaverhead, Deer Lodge, Silver Bow",Montana,2/10/2024,1.7
2023-2024,743,"Klamath, OR - Lake, OR","Klamath, Lake",Oregon,1/13/2024,0.93
2023-2024,744,"Davis, UT - Weber (Ogden), UT","Box Elder, Davis, Morgan, Rich, Weber",Utah,1/6/2024,1.69
2023-2024,748,"Wasco, OR - Hood River, OR","Gilliam, Hood River, Sherman, Wasco",Oregon,11/25/2023,1.57
2023-2024,749,"Park, WY - Big Horn, WY","Big Horn, Park",Wyoming,2/24/2024,2.1
2023-2024,75,"New Castle (Wilmington), DE",New Castle,Delaware,11/25/2023,2.57
2023-2024,754,"El Paso (Colorado Springs), CO - Teller, CO","Cheyenne, El Paso, Kit Carson, Lincoln, Teller",Colorado,12/23/2023,1.16
2023-2024,755,"Iron, UT - Beaver, UT","Beaver, Iron",Utah,1/27/2024,1.57
2023-2024,756,"Park, MT - Sweet Grass, MT","Park, Sweet Grass",Montana,3/2/2024,1.84
2023-2024,759,"Union, OR - Baker, OR","Baker, Union, Wallowa",Oregon,3/2/2024,3.13
2023-2024,76,"Fulton, NY - Montgomery (Amsterdam), NY","Fulton, Montgomery",New York,12/9/2023,2.27
2023-2024,760,"Weld, CO - Morgan, CO","Morgan, Washington, Weld, Yuma",Colorado,1/6/2024,1.16
2023-2024,767,"Richland, MT - Dawson, MT","Dawson, McCone, Richland, Wibaux",Montana,1/20/2024,1.69
2023-2024,769,"Otero, NM - Lincoln, NM","Lincoln, Otero",New Mexico,12/23/2023,5.15
2023-2024,77,"Petersburg City, VA - Prince George, VA","Dinwiddie, Hopewell City, Petersburg City, Prince George, Surry, Sussex",Virginia,10/14/2023,1.06
2023-2024,770,"Sheridan, WY - Johnson, WY","Johnson, Sheridan",Wyoming,2/24/2024,1.59
2023-2024,772,"Chaves, NM - Eddy, NM","Chaves, Eddy",New Mexico,12/23/2023,3.52
2023-2024,773,"Gallatin and Yellowstone National Park, MT - Madison, MT","Gallatin and Yellowstone National Park, Madison",Montana,3/16/2024,1.5
2023-2024,775,"Teton, WY - Lincoln, WY","Lincoln, Sublette, Teton",Wyoming,2/3/2024,2.69
2023-2024,777,"Fremont, WY - Washakie, WY","Fremont, Hot Springs, Washakie",Wyoming,2/10/2024,2.15
2023-2024,778,"Wheatland, MT - Meagher, MT","Meagher, Wheatland",Montana,3/30/2024,3.45
2023-2024,779,"Roosevelt, MT - Valley, MT","Roosevelt, Valley",Montana,2/24/2024,2.37
2023-2024,782,"Lane (Eugene), OR - Douglas, OR","Douglas, Lane",Oregon,12/30/2023,1.1
2023-2024,783,"Lincoln, OR - Tillamook, OR","Lincoln, Tillamook",Oregon,12/16/2023,0.54
2023-2024,784,"Latah, ID",Latah,Idaho,2/24/2024,1.96
2023-2024,792,"Uinta, WY",Uinta,Wyoming,1/27/2024,3.82
2023-2024,793,"Grant, NM - Hidalgo, NM","Catron, Grant, Hidalgo",New Mexico,2/10/2024,6.08
2023-2024,795,"Boulder, CO - Broomfield, CO","Boulder, Broomfield",Colorado,12/16/2023,2.03
2023-2024,796,"Larimer, CO",Larimer,Colorado,12/30/2023,1.46
2023-2024,797,"Platte, WY",Platte,Wyoming,4/6/2024,4.44
2023-2024,80,"St. Lawrence, NY - Jefferson, NY","Jefferson, Lewis, St. Lawrence",New York,12/23/2023,2.97
2023-2024,801,"San Miguel, NM - Mora, NM","Guadalupe, Harding, Mora, San Miguel",New Mexico,12/30/2023,3.01
2023-2024,804,"Weston, WY",Weston,Wyoming,8/5/2023,0
2023-2024,805,"White Pine, NV",White Pine,Nevada,2/24/2024,3.1
2023-2024,806,"Grant, OR",Grant,Oregon,3/23/2024,6.25
2023-2024,808,"Blaine, ID - Camas, ID","Blaine, Camas",Idaho,2/10/2024,1.89
2023-2024,809,"Carbon, UT - Emery, UT","Carbon, Emery",Utah,2/10/2024,1.83
2023-2024,81,"Clinton, NY - Franklin, NY","Clinton, Essex, Franklin",New York,12/30/2023,2.82
2023-2024,813,"Lemhi, ID",Lemhi,Idaho,4/13/2024,3.03
2023-2024,814,"Union, NM",Union,New Mexico,12/2/2023,14.29
2023-2024,82,"Taylor, KY - Adair, KY","Adair, Green, Russell, Taylor",Kentucky,10/28/2023,1.61
2023-2024,821,"Honolulu (Honolulu), HI - Maui, HI","Honolulu, Kalawao, Maui",Hawaii,10/21/2023,0.66
2023-2024,822,"Kauai, HI",Kauai,Hawaii,12/2/2023,2.28
2023-2024,823,"Hawaii, HI",Hawaii,Hawaii,1/6/2024,1.33
2023-2024,825,"Henry, GA - Forsyth, GA","Fayette, Forsyth, Henry, Rockdale, Walton",Georgia,10/21/2023,0.67
2023-2024,826,"Cherokee, GA - Douglas, GA","Cherokee, Douglas, Paulding, Pickens",Georgia,11/18/2023,1.66
2023-2024,827,"Newton (Covington), GA",Newton,Georgia,10/14/2023,1.26
2023-2024,828,"Baldwin, GA",Baldwin,Georgia,11/25/2023,2.35
2023-2024,829,"Clarke (Athens), GA - Barrow, GA","Barrow, Clarke, Jackson, Madison, Oconee, Oglethorpe",Georgia,11/18/2023,1.96
2023-2024,83,"Suffolk, NY - Nassau, NY","Nassau, Suffolk",New York,12/2/2023,0.89
2023-2024,830,"Richmond (South Augusta), GA - Columbia, GA","Burke, Columbia, Jenkins, Lincoln, McDuffie, Richmond",Georgia,10/21/2023,0.38
2023-2024,831,"Washtenaw, MI - Livingston, MI","Livingston, Washtenaw",Michigan,12/16/2023,1
2023-2024,85,"New Haven (New Haven), CT - Litchfield, CT","Litchfield, Middlesex, New Haven",Connecticut,12/30/2023,0.72
2023-2024,851,"Mineral, WV - Hardy, WV","Grant, Hardy, Mineral",West Virginia,1/6/2024,5.85
2023-2024,852,"Wicomico, MD - Worcester, MD","Somerset, Wicomico, Worcester",Maryland,11/25/2023,2.59
2023-2024,853,"Virginia Beach City, VA - Norfolk City, VA","Chesapeake City, Franklin City, Isle of Wight, Norfolk City, Portsmouth City, Southampton, Suffolk City, Virginia Beach City",Virginia,11/25/2023,0.84
2023-2024,854,"Bennington, VT",Bennington,Vermont,12/23/2023,2.43
2023-2024,855,"McCracken, KY - Graves, KY","Ballard, Carlisle, Crittenden, Graves, Hickman, Livingston, Lyon, Marshall, McCracken",Kentucky,12/16/2023,1.96
2023-2024,856,"Logan, WV - Mingo, WV","Logan, Mingo",West Virginia,1/6/2024,1.36
2023-2024,857,"Washington, VT - Windsor, VT","Orange, Washington, Windsor",Vermont,1/6/2024,1.76
2023-2024,86,"Orange (Newburgh), NY - Sullivan, NY","Orange, Sullivan",New York,12/16/2023,2.21
2023-2024,860,"Ohio (Wheeling), WV - Marshall, WV","Marshall, Ohio, Tyler, Wetzel",West Virginia,1/6/2024,4.54
2023-2024,861,"Berkeley, WV - Jefferson, WV","Berkeley, Hampshire, Jefferson, Morgan",West Virginia,12/30/2023,3.39
2023-2024,862,"Greenbrier, WV - Monroe, WV","Greenbrier, Monroe",West Virginia,1/6/2024,2.43
2023-2024,863,"Wood (Parkersburg), WV - Jackson, WV","Calhoun, Jackson, Pleasants, Ritchie, Roane, Wirt, Wood",West Virginia,1/6/2024,4.9
2023-2024,865,"Rockland, NY",Rockland,New York,12/2/2023,1.24
2023-2024,866,"Mercer, WV - McDowell, WV","McDowell, Mercer",West Virginia,1/6/2024,4.66
2023-2024,867,"Cabell (Huntington), WV - Wayne, WV","Cabell, Lincoln, Wayne",West Virginia,12/23/2023,4.78
2023-2024,869,"Montgomery, MD - Prince Georges, MD","Charles, Montgomery, Prince Georges, St. Marys",Maryland,11/18/2023,1.27
2023-2024,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ","Morris, Sussex",New Jersey,12/16/2023,1.09
2023-2024,875,"Harford, MD - Cecil, MD","Cecil, Harford",Maryland,12/16/2023,3.35
2023-2024,877,"Windham, VT",Windham,Vermont,12/23/2023,2.64
2023-2024,878,"Claiborne, TN",Claiborne,Tennessee,1/6/2024,2.66
2023-2024,88,"Saratoga, NY - Schenectady (Schenectady), NY","Hamilton, Saratoga, Schenectady, Warren, Washington",New York,12/23/2023,3
2023-2024,881,"Columbia, NY - Greene, NY","Columbia, Greene",New York,12/2/2023,3.12
2023-2024,882,"Henry, TN - Carroll, TN","Benton, Carroll, Henry",Tennessee,11/18/2023,1.59
2023-2024,883,"Pittsylvania (Danville), VA - Danville City, VA","Danville City, Pittsylvania",Virginia,11/25/2023,3.26
2023-2024,885,"Hamilton (Chattanooga), TN - Marion, TN","Hamilton, Marion, Sequatchie",Tennessee,11/25/2023,1.64
2023-2024,886,"Beaufort, SC - Jasper, SC","Beaufort, Jasper",South Carolina,11/11/2023,1.09
2023-2024,887,"Shelby (Memphis), TN - Tipton, TN","Fayette, Shelby, Tipton",Tennessee,11/11/2023,3.2
2023-2024,888,"Washington, VA - Smyth, VA","Bristol City, Russell, Scott, Smyth, Washington",Virginia,12/23/2023,1.72
2023-2024,889,"Aiken, SC - Edgefield, SC","Aiken, Barnwell, Edgefield",South Carolina,11/25/2023,2.4
2023-2024,89,"Hardin, KY - Meade, KY","Breckinridge, Grayson, Hardin, Larue, Meade",Kentucky,12/23/2023,2.31
2023-2024,890,"Glynn, GA - Camden, GA","Brantley, Camden, Charlton, Glynn, McIntosh",Georgia,10/7/2023,0.79
2023-2024,893,"Muscogee (Columbus), GA - Harris, GA","Chattahoochee, Harris, Marion, Muscogee, Schley, Stewart, Talbot, Webster",Georgia,11/4/2023,1.27
2023-2024,894,"Coweta, GA - Troup (La Grange), GA","Coweta, Heard, Meriwether, Troup",Georgia,10/14/2023,1.52
2023-2024,895,"Bradley, TN - Polk, TN","Bradley, Polk",Tennessee,12/2/2023,0.92
2023-2024,896,"Carroll, GA - Haralson, GA","Carroll, Haralson",Georgia,10/21/2023,1.14
2023-2024,897,"Weakley, TN - Obion, TN","Obion, Weakley",Tennessee,11/25/2023,1.75
2023-2024,899,"Johnson, TN",Johnson,Tennessee,1/13/2024,2.6
2023-2024,9,"Cumberland (Portland), ME - Knox, ME","Cumberland, Knox, Lincoln, Sagadahoc",Maine,12/30/2023,1.04
2023-2024,900,"Lincoln, TN",Lincoln,Tennessee,11/25/2023,2.97
2023-2024,902,"Vanderburgh (Evansville), IN - Warrick, IN","Gibson, Posey, Spencer, Vanderburgh, Warrick",Indiana,12/16/2023,1.13
2023-2024,904,"Mason, WV",Mason,West Virginia,1/13/2024,2.34
2023-2024,905,"Oneida, WI - Vilas, WI","Forest, Iron, Oneida, Vilas",Wisconsin,1/20/2024,2.6
2023-2024,906,"Polk, WI",Polk,Wisconsin,1/6/2024,2.12
2023-2024,907,"Douglas, WI",Douglas,Wisconsin,1/13/2024,3.73
2023-2024,908,"La Crosse (La Crosse), WI - Monroe, WI","La Crosse, Monroe, Trempealeau, Vernon",Wisconsin,12/30/2023,2.14
2023-2024,909,"Dubuque (Dubuque), IA - Jackson, IA","Dubuque, Jackson",Iowa,1/13/2024,2.24
2023-2024,910,"Knox, IN - Daviess, IN","Daviess, Knox, Martin, Pike",Indiana,12/23/2023,1.53
2023-2024,911,"Vigo (Terre Haute), IN - Clay, IN","Clay, Parke, Sullivan, Vermillion, Vigo",Indiana,12/16/2023,2.08
2023-2024,912,"Marinette, WI - Florence, WI","Florence, Marinette",Wisconsin,12/23/2023,3.86
2023-2024,913,"Daviess (Owensboro), KY - Ohio, KY","Daviess, Hancock, McLean, Ohio",Kentucky,12/23/2023,0.6
2023-2024,914,"Carroll, KY - Trimble, KY","Carroll, Trimble",Kentucky,12/23/2023,2.99
2023-2024,915,"Fountain, IN - Warren, IN","Fountain, Warren",Indiana,1/6/2024,2
2023-2024,917,"Des Moines, IA - Henry, IA","Des Moines, Henry",Iowa,12/30/2023,3.67
2023-2024,919,"Crawford, WI",Crawford,Wisconsin,1/20/2024,4.41
2023-2024,92,"Harrison, WV - Upshur, WV","Braxton, Doddridge, Gilmer, Harrison, Lewis, Upshur",West Virginia,12/30/2023,3.98
2023-2024,921,"Clinton, IA",Clinton,Iowa,2/24/2024,4.26
2023-2024,923,"St. Croix, WI - Pierce, WI","Pierce, St. Croix",Wisconsin,1/13/2024,1.8
2023-2024,924,"Hancock (Weirton), WV - Brooke, WV","Brooke, Hancock",West Virginia,3/9/2024,3.33
2023-2024,925,"Bowie (Texarkana), TX",Bowie,Texas,12/2/2023,2.88
2023-2024,926,"Lauderdale, MS - Neshoba, MS","Clarke, Kemper, Lauderdale, Neshoba, Newton",Mississippi,11/18/2023,1.81
2023-2024,928,"Warren, MS - Claiborne, MS","Claiborne, Warren",Mississippi,11/11/2023,1.91
2023-2024,929,"Adams, MS - Jefferson, MS","Adams, Franklin, Jefferson",Mississippi,11/11/2023,2.21
2023-2024,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ","Hunterdon, Warren",New Jersey,12/9/2023,1.5
2023-2024,930,"Grayson (Sherman), TX - Fannin, TX","Fannin, Grayson",Texas,11/25/2023,3.27
2023-2024,931,"Lamar, TX - Red River, TX","Delta, Lamar, Red River",Texas,11/25/2023,3.78
2023-2024,932,"Delaware, OK",Delaware,Oklahoma,11/25/2023,1.71
2023-2024,934,"Lowndes, MS - Clay, MS","Clay, Lowndes, Noxubee",Mississippi,10/14/2023,1.82
2023-2024,936,"Pearl River, MS",Pearl River,Mississippi,11/4/2023,2.17
2023-2024,937,"Gaines, TX - Andrews, TX","Andrews, Gaines",Texas,12/9/2023,3.97
2023-2024,941,"Olmsted (Rochester), MN - Winona, MN","Dodge, Fillmore, Mower, Olmsted, Steele, Wabasha, Winona",Minnesota,12/30/2023,2.58
2023-2024,942,"Dakota, NE - Thurston, NE","Dakota, Dixon, Thurston",Nebraska,8/5/2023,0
2023-2024,943,"Grant, KS - Stanton, KS","Grant, Stanton",Kansas,12/16/2023,8.7
2023-2024,948,"Goshen, WY - Niobrara, WY","Goshen, Niobrara",Wyoming,3/16/2024,1.37
2023-2024,95,"Androscoggin (Lewiston), ME - Oxford, ME","Androscoggin, Franklin, Oxford",Maine,12/16/2023,0.94
2023-2024,950,"Campbell, WY - Crook, WY","Campbell, Crook",Wyoming,8/5/2023,0
2023-2024,955,"Red Willow, NE - Hitchcock, NE","Hitchcock, Red Willow",Nebraska,3/16/2024,4.88
2023-2024,958,"Martin, MN",Martin,Minnesota,2/24/2024,3.95
2023-2024,96,"Harlan, KY - Bell, KY","Bell, Harlan",Kentucky,12/23/2023,2.15
2023-2024,962,"Washoe (Reno), NV - Carson City, NV","Carson City, Churchill, Douglas, Humboldt, Lyon, Mineral, Pershing, Storey, Washoe",Nevada,12/30/2023,1.96
2023-2024,964,"Washington, UT - Kane, UT","Garfield, Kane, Piute, Washington",Utah,2/10/2024,1.55
2023-2024,965,"Grand, UT",Grand,Utah,3/2/2024,50
2023-2024,966,"Cache, UT",Cache,Utah,1/27/2024,2.17
2023-2024,968,"Malheur, OR",Malheur,Oregon,12/23/2023,1.79
2023-2024,969,"Coos, OR - Curry, OR","Coos, Curry",Oregon,2/10/2024,2.75
2023-2024,97,"Augusta, VA - Staunton City, VA","Augusta, Buena Vista City, Highland, Lexington City, Rockbridge, Staunton City, Waynesboro City",Virginia,11/25/2023,2.3
2023-2024,970,"San Juan, UT",San Juan,Utah,2/3/2024,8.6
2023-2024,971,"Laramie (Cheyenne), WY",Laramie,Wyoming,12/9/2023,2.38
2023-2024,973,"Jackson (Medford), OR - Josephine, OR","Jackson, Josephine",Oregon,12/16/2023,0.76
2023-2024,975,"Albany, WY - Carbon, WY","Albany, Carbon",Wyoming,2/10/2024,2.25
2023-2024,977,"Sweetwater, WY",Sweetwater,Wyoming,8/5/2023,0
2023-2024,98,"York, ME",York,Maine,1/13/2024,0.37
2023-2024,982,"Lee, IA",Lee,Iowa,12/30/2023,5.97
2023-2024,985,"La Plata, CO - Montezuma, CO","Archuleta, Dolores, La Plata, Montezuma, San Juan",Colorado,2/3/2024,1.72
2023-2024,986,"San Juan, NM",San Juan,New Mexico,1/27/2024,1.9
2023-2024,99,"Albemarle, VA - Charlottesville City, VA","Albemarle, Buckingham, Charlottesville City, Culpeper, Fluvanna, Greene, Louisa, Madison, Nelson, Orange, Rappahannock",Virginia,11/25/2023,1.07
2023-2024,All,All,All,Alabama,11/25/2023,1.79
2023-2024,All,All,All,Alaska,12/30/2023,2.18
2023-2024,All,All,All,Arizona,12/30/2023,1.02
2023-2024,All,All,All,Arkansas,12/2/2023,2.31
2023-2024,All,All,All,California,12/30/2023,0.94
2023-2024,All,All,All,Colorado,12/30/2023,1.19
2023-2024,All,All,All,Connecticut,11/25/2023,0.93
2023-2024,All,All,All,Delaware,11/25/2023,2.3
2023-2024,All,All,All,District of Columbia,11/11/2023,1.64
2023-2024,All,All,All,Florida,10/28/2023,0.83
2023-2024,All,All,All,Georgia,11/11/2023,0.77
2023-2024,All,All,All,Hawaii,11/18/2023,0.67
2023-2024,All,All,All,Idaho,1/6/2024,1.41
2023-2024,All,All,All,Illinois,12/2/2023,1.32
2023-2024,All,All,All,Indiana,12/30/2023,1.2
2023-2024,All,All,All,Iowa,12/30/2023,2.06
2023-2024,All,All,All,Kansas,1/6/2024,1.44
2023-2024,All,All,All,Kentucky,12/9/2023,2.04
2023-2024,All,All,All,Louisiana,11/25/2023,1.64
2023-2024,All,All,All,Maine,12/30/2023,1.11
2023-2024,All,All,All,Maryland,11/25/2023,1.59
2023-2024,All,All,All,Massachusetts,12/9/2023,1.46
2023-2024,All,All,All,Michigan,12/30/2023,1.36
2023-2024,All,All,All,Minnesota,12/23/2023,1.83
2023-2024,All,All,All,Mississippi,11/18/2023,1.24
2023-2024,All,All,All,Montana,2/17/2024,1.19
2023-2024,All,All,All,Nebraska,12/23/2023,1.13
2023-2024,All,All,All,Nevada,12/30/2023,1.22
2023-2024,All,All,All,New Hampshire,12/16/2023,1.65
2023-2024,All,All,All,New Jersey,12/2/2023,0.91
2023-2024,All,All,All,New Mexico,12/30/2023,2.81
2023-2024,All,All,All,New York,12/16/2023,0.9
2023-2024,All,All,All,North Carolina,11/25/2023,1.5
2023-2024,All,All,All,North Dakota,2/3/2024,1
2023-2024,All,All,All,Ohio,12/23/2023,0.97
2023-2024,All,All,All,Oklahoma,12/30/2023,1.82
2023-2024,All,All,All,Oregon,12/30/2023,1.12
2023-2024,All,All,All,Pennsylvania,12/23/2023,1.14
2023-2024,All,All,All,Rhode Island,12/9/2023,1.31
2023-2024,All,All,All,South Carolina,11/25/2023,1.27
2023-2024,All,All,All,South Dakota,2/24/2024,1.45
2023-2024,All,All,All,Tennessee,11/25/2023,1.69
2023-2024,All,All,All,Texas,11/25/2023,1.7
2023-2024,All,All,All,United States,11/25/2023,1
2023-2024,All,All,All,Utah,1/6/2024,1.7
2023-2024,All,All,All,Vermont,1/6/2024,1.98
2023-2024,All,All,All,Virginia,11/25/2023,1.11
2023-2024,All,All,All,Washington,12/30/2023,1.57
2023-2024,All,All,All,West Virginia,1/6/2024,3.28
2023-2024,All,All,All,Wisconsin,12/30/2023,1.51
2023-2024,All,All,All,Wyoming,2/10/2024,1.42
2024-2025,1,"Allegany (Cumberland), MD - Garrett, MD","Allegany, Garrett",Maryland,1/4/2025,1.78
2024-2025,10,"Albany (Albany), NY - Rensselaer, NY","Albany, Rensselaer",New York,12/28/2024,1.24
2024-2025,101,"Worcester (Worcester), MA - Franklin, MA","Franklin, Worcester",Massachusetts,12/28/2024,1.79
2024-2025,102,"Bourbon (Paris), KY - Nicholas, KY","Bourbon, Nicholas",Kentucky,12/21/2024,6.94
2024-2025,103,"Caledonia, VT - Orleans, VT","Caledonia, Lamoille, Orleans",Vermont,1/11/2025,1.33
2024-2025,104,"Clinton, KY - Cumberland, KY","Clinton, Cumberland",Kentucky,2/15/2025,5.77
2024-2025,105,"Tompkins, NY - Cortland, NY","Cortland, Tompkins",New York,1/4/2025,1.73
2024-2025,106,"Chautauqua, NY",Chautauqua,New York,1/25/2025,1.83
2024-2025,107,"Queen Annes, MD - Talbot, MD","Caroline, Dorchester, Queen Annes, Talbot",Maryland,12/28/2024,2.58
