hsa_nci_id,breakpoint,early.ci,late.ci,time.to.outcome,early.tto,late.tto,outcome
1,12/10/2025,12/8/2025,12/13/2025,131,129,134,1
10,11/27/2025,11/24/2025,11/30/2025,118,115,121,1
101,12/9/2025,12/8/2025,12/11/2025,130,129,132,1
102,1/22/2026,1/15/2026,1/28/2026,174,167,180,1
103,12/7/2025,12/5/2025,12/10/2025,128,126,131,1
104,11/21/2025,11/21/2025,11/22/2025,112,112,113,1
105,12/8/2025,12/6/2025,12/11/2025,129,127,132,1
106,12/8/2025,12/7/2025,12/10/2025,129,128,131,1
107,12/10/2025,12/9/2025,12/11/2025,131,130,132,1
108,12/3/2025,12/1/2025,12/5/2025,124,122,126,1
109,12/9/2025,12/7/2025,12/12/2025,130,128,133,1
11,12/6/2025,11/28/2025,12/14/2025,127,119,135,1
112,12/10/2025,12/8/2025,12/12/2025,131,129,133,1
114,11/12/2025,10/13/2025,12/11/2025,103,73,132,1
115,12/20/2025,12/19/2025,12/20/2025,141,140,141,1
116,12/4/2025,12/3/2025,12/5/2025,125,124,126,1
119,12/20/2025,12/19/2025,12/20/2025,141,140,141,1
12,12/13/2025,12/13/2025,12/13/2025,134,134,134,1
121,11/26/2025,11/24/2025,11/29/2025,117,115,120,1
122,12/2/2025,11/23/2025,12/11/2025,123,114,132,1
123,12/1/2025,11/21/2025,12/11/2025,122,112,132,1
124,12/15/2025,12/13/2025,12/17/2025,136,134,138,1
126,12/4/2025,12/2/2025,12/5/2025,125,123,126,1
127,12/9/2025,12/8/2025,12/11/2025,130,129,132,1
13,12/4/2025,11/25/2025,12/12/2025,125,116,133,1
131,2/24/2026,2/15/2026,3/5/2026,207,198,216,1
135,12/11/2025,12/9/2025,12/13/2025,132,130,134,1
136,12/19/2025,12/15/2025,12/23/2025,140,136,144,1
14,12/17/2025,12/15/2025,12/19/2025,138,136,140,1
141,12/12/2025,12/11/2025,12/13/2025,133,132,134,1
143,12/12/2025,12/11/2025,12/12/2025,133,132,133,1
145,12/10/2025,12/9/2025,12/11/2025,131,130,132,1
146,11/20/2025,10/27/2025,12/13/2025,111,87,134,1
147,12/11/2025,12/9/2025,12/12/2025,132,130,133,1
148,12/11/2025,12/9/2025,12/12/2025,132,130,133,1
149,12/12/2025,12/10/2025,12/13/2025,133,131,134,1
151,12/11/2025,12/10/2025,12/11/2025,132,131,132,1
153,12/4/2025,12/1/2025,12/8/2025,125,122,129,1
154,12/10/2025,12/9/2025,12/11/2025,131,130,132,1
157,12/11/2025,12/10/2025,12/12/2025,132,131,133,1
16,12/3/2025,11/30/2025,12/6/2025,124,121,127,1
160,12/11/2025,12/10/2025,12/12/2025,132,131,133,1
164,12/11/2025,12/9/2025,12/14/2025,132,130,135,1
167,12/8/2025,12/6/2025,12/11/2025,129,127,132,1
168,12/3/2025,12/1/2025,12/5/2025,124,122,126,1
169,12/16/2025,12/14/2025,12/17/2025,137,135,138,1
17,12/10/2025,12/8/2025,12/12/2025,131,129,133,1
170,12/15/2025,12/14/2025,12/17/2025,136,135,138,1
174,3/3/2026,2/21/2026,3/13/2026,214,204,224,1
18,12/8/2025,12/5/2025,12/12/2025,129,126,133,1
180,11/14/2025,10/13/2025,12/15/2025,105,73,136,1
182,12/12/2025,12/11/2025,12/13/2025,133,132,134,1
184,12/11/2025,12/9/2025,12/12/2025,132,130,133,1
186,12/10/2025,12/8/2025,12/11/2025,131,129,132,1
187,12/10/2025,12/8/2025,12/11/2025,131,129,132,1
188,12/12/2025,12/11/2025,12/13/2025,133,132,134,1
189,11/14/2025,10/11/2025,12/17/2025,105,71,138,1
19,12/10/2025,12/9/2025,12/11/2025,131,130,132,1
190,12/11/2025,12/10/2025,12/12/2025,132,131,133,1
191,12/19/2025,12/18/2025,12/20/2025,140,139,141,1
192,12/9/2025,12/8/2025,12/11/2025,130,129,132,1
193,12/9/2025,12/6/2025,12/11/2025,130,127,132,1
194,12/19/2025,12/18/2025,12/20/2025,140,139,141,1
195,12/4/2025,11/30/2025,12/7/2025,125,121,128,1
196,12/11/2025,12/10/2025,12/13/2025,132,131,134,1
198,12/11/2025,12/9/2025,12/12/2025,132,130,133,1
199,12/10/2025,12/8/2025,12/12/2025,131,129,133,1
2,12/2/2025,11/30/2025,12/4/2025,123,121,125,1
20,12/9/2025,12/7/2025,12/10/2025,130,128,131,1
203,12/11/2025,12/10/2025,12/11/2025,132,131,132,1
204,12/8/2025,12/7/2025,12/10/2025,129,128,131,1
205,12/11/2025,12/9/2025,12/12/2025,132,130,133,1
206,12/16/2025,12/14/2025,12/18/2025,137,135,139,1
207,12/11/2025,12/11/2025,12/12/2025,132,132,133,1
208,12/11/2025,12/9/2025,12/13/2025,132,130,134,1
209,12/11/2025,12/10/2025,12/12/2025,132,131,133,1
21,12/4/2025,12/3/2025,12/5/2025,125,124,126,1
211,12/16/2025,12/15/2025,12/17/2025,137,136,138,1
212,12/11/2025,12/10/2025,12/12/2025,132,131,133,1
214,12/9/2025,12/7/2025,12/11/2025,130,128,132,1
215,12/5/2025,12/2/2025,12/7/2025,126,123,128,1
216,12/10/2025,12/9/2025,12/11/2025,131,130,132,1
217,12/17/2025,12/16/2025,12/18/2025,138,137,139,1
218,12/10/2025,12/8/2025,12/12/2025,131,129,133,1
22,12/5/2025,12/3/2025,12/6/2025,126,124,127,1
220,12/9/2025,12/6/2025,12/11/2025,130,127,132,1
223,12/4/2025,12/1/2025,12/6/2025,125,122,127,1
225,12/11/2025,12/10/2025,12/12/2025,132,131,133,1
226,11/26/2025,11/18/2025,12/5/2025,117,109,126,1
228,12/11/2025,12/8/2025,12/15/2025,132,129,136,1
229,12/5/2025,12/4/2025,12/6/2025,126,125,127,1
23,12/10/2025,12/8/2025,12/12/2025,131,129,133,1
231,12/17/2025,12/17/2025,12/18/2025,138,138,139,1
232,12/19/2025,12/18/2025,12/20/2025,140,139,141,1
234,12/5/2025,12/2/2025,12/8/2025,126,123,129,1
235,12/3/2025,12/1/2025,12/5/2025,124,122,126,1
238,11/26/2025,11/24/2025,11/28/2025,117,115,119,1
239,12/11/2025,12/10/2025,12/13/2025,132,131,134,1
240,12/18/2025,12/16/2025,12/19/2025,139,137,140,1
242,12/4/2025,12/2/2025,12/5/2025,125,123,126,1
243,12/2/2025,11/30/2025,12/5/2025,123,121,126,1
244,12/3/2025,12/1/2025,12/6/2025,124,122,127,1
245,12/11/2025,11/25/2025,12/27/2025,132,116,148,1
246,12/8/2025,12/6/2025,12/10/2025,129,127,131,1
248,12/12/2025,12/11/2025,12/14/2025,133,132,135,1
249,12/8/2025,12/6/2025,12/11/2025,129,127,132,1
25,12/11/2025,12/9/2025,12/14/2025,132,130,135,1
